Zip,zindex,as_avg_w,as_num11,as_num12,as_num13,as_num_avg
92374,291200.0,897.555555556,640.0,627.0,605.0,624.0
90250,467300.0,897.285714286,154.0,186.0,162.0,167.333333333
92101,486800.0,897.0,21.0,27.0,22.0,23.3333333333
92868,438600.0,897.0,72.0,60.0,54.0,62.0
90007,491200.0,897.0,50.0,48.0,45.0,47.6666666667
93631,223500.0,897.0,67.0,66.0,58.0,63.6666666667
91733,395300.0,896.5,308.0,311.0,308.0,309.0
96003,234100.0,896.5,45.0,45.0,58.0,49.3333333333
93442,510500.0,896.0,14.0,15.0,14.0,14.3333333333
91731,402300.0,895.666666667,573.0,575.0,527.0,558.333333333
92503,292300.0,895.555555556,341.0,348.0,313.0,334.0
94619,533000.0,895.166666667,619.0,616.0,653.0,629.333333333
94709,772100.0,895.0,30.0,31.0,21.0,27.3333333333
92104,478800.0,895.0,32.0,30.0,25.0,29.0
94513,452000.0,894.909090909,353.0,396.0,419.0,389.333333333
91104,648700.0,894.0,51.0,50.0,56.0,52.3333333333
93023,612300.0,894.0,16.0,22.0,19.0,19.0
90032,376600.0,894.0,203.0,195.0,176.0,191.333333333
92392,190900.0,893.333333333,170.0,185.0,197.0,184.0
91710,408200.0,893.2,427.0,442.0,452.0,440.333333333
91764,302100.0,893.0,27.0,26.0,19.0,24.0
93306,159100.0,893.0,29.0,30.0,41.0,33.3333333333
94015,701000.0,892.666666667,836.0,881.0,892.0,869.666666667
94551,563900.0,892.25,139.0,125.0,125.0,129.666666667
92806,501000.0,892.166666667,205.0,190.0,189.0,194.666666667
94538,644400.0,892.071428571,2514.0,2605.0,2783.0,2634.0
90012,408700.0,891.5,603.0,636.0,652.0,630.333333333
92701,372000.0,891.333333333,244.0,265.0,284.0,264.333333333
93611,259400.0,891.25,1697.0,1665.0,1655.0,1672.33333333
95136,707200.0,891.2,369.0,428.0,407.0,401.333333333
90640,422000.0,891.0,207.0,185.0,157.0,183.0
92865,548700.0,891.0,20.0,21.0,19.0,20.0
93036,405300.0,891.0,101.0,115.0,110.0,108.666666667
95472,653200.0,891.0,29.0,20.0,21.0,23.3333333333
92019,435900.0,890.75,124.0,117.0,116.0,119.0
92551,231400.0,890.666666667,159.0,142.0,133.0,144.666666667
95816,425100.0,890.5,263.0,253.0,238.0,251.333333333
92346,264600.0,890.428571429,242.0,231.0,249.0,240.666666667
94589,236000.0,890.0,82.0,90.0,88.0,86.6666666667
93906,321700.0,889.8,107.0,102.0,91.0,100.0
92106,925700.0,889.8,101.0,98.0,104.0,101.0
90650,375800.0,888.5,101.0,113.0,116.0,110.0
90242,414700.0,888.333333333,46.0,42.0,43.0,43.6666666667
95127,548200.0,888.333333333,590.0,582.0,568.0,580.0
94501,727800.0,888.133333333,2081.0,2043.0,1952.0,2025.33333333
92507,280600.0,887.666666667,114.0,117.0,112.0,114.333333333
94044,714100.0,887.6,164.0,173.0,184.0,173.666666667
95758,293400.0,887.5,1021.0,996.0,1008.0,1008.33333333
95355,246900.0,887.1,455.0,450.0,480.0,461.666666667
92704,416700.0,886.615384615,765.0,755.0,718.0,746.0
92707,380100.0,886.5,191.0,198.0,186.0,191.666666667
91776,556900.0,886.166666667,2831.0,2961.0,2867.0,2886.33333333
95050,762900.0,885.8,255.0,244.0,229.0,242.666666667
92025,434900.0,885.6,187.0,196.0,181.0,188.0
93657,173900.0,885.333333333,470.0,444.0,462.0,458.666666667
93401,615200.0,885.0,39.0,49.0,47.0,45.0
95126,673800.0,884.0,93.0,118.0,117.0,109.333333333
92530,254000.0,883.666666667,61.0,55.0,52.0,56.0
92026,412100.0,883.666666667,191.0,184.0,175.0,183.333333333
93030,420200.0,883.4,130.0,120.0,109.0,119.666666667
94703,729400.0,882.666666667,124.0,135.0,131.0,130.0
95122,499500.0,882.625,1528.0,1610.0,1594.0,1577.33333333
91941,514100.0,881.8,201.0,184.0,170.0,185.0
94560,581900.0,881.6,774.0,774.0,737.0,761.666666667
