Zip,Total Enrollment 11,Total Enrollment 12,Total Enrollment 13,private average,zindex,avg_w,num11,num12,num13,num_avg,SCF,total students,percent public,expected api,API - expected,Population,,percent public rank,API-expected rank,,,,59.12553603,,,,,,,,,,,,,,
90802,539,614,671,608,278200,782.25,2045,2075,2196,2105.333333,908,2713.333333,0.775921376,770.7202091,11.5297909,39347,,192,703,,,,,,,,,,,,,,,,,,
90803,48,38,32,39.33333333,791800,900.4,2001,2012,2016,2009.666667,908,2049,0.980803644,856.2582347,44.1417653,32031,,806,924,,,,,,,,,,,,,,,,,,
90804,60,63,59,60.66666667,399100,780.6,5093,5045,5060,5066,908,5126.666667,0.98816645,790.8556205,-10.2556205,40311,,860,538,,,,,,,,,,,,,,,,,,
90805,268,271,269,269.3333333,345800,747.0769231,10028,9590,9622,9746.666667,908,10016,0.973109691,781.9787187,-34.90179562,93524,,759,346,,,,,,,,,,,,,,,,,,
90806,540,498,420,486,422800,796.5,2026,2119,2135,2093.333333,908,2579.333333,0.811579219,794.8027607,1.6972393,42399,,245,636,,,,,,,,,,,,,,,,,,
90807,488,431,484,467.6666667,515000,837.75,2957,3050,3015,3007.333333,908,3475,0.865419664,810.1583019,27.5916981,31481,,345,817,,,,,,,,,,,,,,,,,,
90808,1216,1160,1187,1187.666667,567700,850.125,5105,4889,5032,5008.666667,908,6196.333333,0.808327506,818.9352761,31.1897239,38232,,235,844,,,,,,,,,,,,,,,,,,
90810,191,180,199,190,349300,738.25,6014,5834,5677,5841.666667,908,6031.666667,0.968499586,782.5616297,-44.3116297,36735,,726,274,,,,,,,,,,,,,,,,,,
90813,281,219,193,231,321000,739.3333333,7410,7352,7261,7341,908,7572,0.969492868,777.8483779,-38.51504457,58911,,731,322,,,,,,,,,,,,,,,,,,
90814,,24,30,27,642700,859.5,698,739,764,733.6666667,908,760.6666667,0.96450482,831.4262261,28.0737739,19131,,705,822,,,,,,,,,,,,,,,,,,
90815,824,805,811,813.3333333,572700,855.25,7654,7694,7388,7578.666667,908,8392,0.903082301,819.7680061,35.4819939,39733,,446,874,,,,,,,,,,,,,,,,,,
91001,1178,1147,1164,1163,650900,784.875,2000,1983,2087,2023.333333,910,3186.333333,0.635003661,832.7919033,-47.9169033,36126,,90,252,,,,,,,,,,,,,,,,,,
91006,551,499,468,506,1031300,889.5,3400,3323,3393,3372,910,3878,0.869520371,896.1460017,-6.6460017,31715,,352,565,,,,,,,,,,,,,,,,,,
91007,709,470,728,635.6666667,1126100,936.3333333,4734,4675,4555,4654.666667,910,5290.333333,0.87984374,911.9345625,24.39877083,34095,,377,800,,,,,,,,,,,,,,,,,,
91010,134,164,164,154,429800,757.625,2928,2818,2702,2816,910,2970,0.948148148,795.9685827,-38.3435827,26074,,623,323,,,,,,,,,,,,,,,,,,
91011,2642,2616,2568,2608.666667,1435500,958.5,3093,3203,3171,3155.666667,910,5764.333333,0.547446944,963.4638949,-4.9638949,20280,,62,576,,,,,,,,,,,,,,,,,,
91016,513,345,372,410,560300,793.5,4217,4254,4245,4238.666667,910,4648.666667,0.911802667,817.7028357,-24.2028357,40598,,471,437,,,,,,,,,,,,,,,,,,
