Zip,zindex,sd_avg_w,sd_num11,sd_num12,sd_num13,sd_num_avg
94954,500000.0,786.0,588.0,609.0,637.0,611.333333333
90270,371400.0,785.8,2695.0,2701.0,2542.0,2646.0
95757,378600.0,785.6,2995.0,3152.0,3558.0,3235.0
90045,815900.0,785.375,1672.0,1841.0,1662.0,1725.0
92821,576900.0,785.222222222,1068.0,1133.0,1222.0,1141.0
94526,990400.0,785.2,88.0,62.0,128.0,92.6666666667
95366,339300.0,785.0,816.0,890.0,881.0,862.333333333
93426,388700.0,785.0,26.0,25.0,34.0,28.3333333333
95222,256700.0,785.0,210.0,223.0,260.0,231.0
93312,267200.0,784.8125,2626.0,2442.0,2412.0,2493.33333333
91786,402400.0,784.7,3414.0,3301.0,3507.0,3407.33333333
92562,366100.0,784.7,2351.0,2655.0,2993.0,2666.33333333
91941,514100.0,784.6,3009.0,3038.0,2620.0,2889.0
90242,414700.0,784.5,4424.0,4454.0,4588.0,4488.66666667
95726,217800.0,784.5,250.0,248.0,285.0,261.0
90650,375800.0,784.318181818,9142.0,9130.0,9218.0,9163.33333333
91042,474400.0,784.0,1559.0,1441.0,1283.0,1427.66666667
92530,254000.0,783.8,3277.0,4639.0,4910.0,4275.33333333
94596,804600.0,783.0,152.0,162.0,177.0,163.666666667
95124,896300.0,783.0,890.0,821.0,868.0,859.666666667
95624,329700.0,782.944444444,5805.0,5988.0,6620.0,6137.66666667
95035,729500.0,782.846153846,2815.0,2815.0,3132.0,2920.66666667
92677,727400.0,782.5,737.0,820.0,883.0,813.333333333
95338,224400.0,782.5,420.0,433.0,531.0,461.333333333
92223,259100.0,782.4,3718.0,3730.0,3956.0,3801.33333333
90723,321000.0,782.357142857,9467.0,9512.0,9702.0,9560.33333333
94703,729400.0,782.25,898.0,983.0,965.0,948.666666667
95819,424500.0,782.25,633.0,680.0,636.0,649.666666667
92705,792900.0,782.230769231,4265.0,4436.0,4695.0,4465.33333333
93551,302900.0,782.0,3840.0,3906.0,4264.0,4003.33333333
91776,556900.0,782.0,3871.0,4143.0,4169.0,4061.0
91345,419000.0,782.0,310.0,316.0,374.0,333.333333333
95407,387700.0,781.625,2752.0,2890.0,2768.0,2803.33333333
92860,467800.0,781.444444444,2017.0,2020.0,2122.0,2053.0
94510,510400.0,781.333333333,736.0,695.0,719.0,716.666666667
90024,986200.0,781.0,513.0,519.0,381.0,471.0
94710,662800.0,781.0,148.0,127.0,127.0,134.0
90802,278200.0,780.75,2016.0,2029.0,2031.0,2025.33333333
92870,568400.0,780.6,3978.0,4076.0,4297.0,4117.0
93465,555700.0,780.5,240.0,250.0,339.0,276.333333333
95388,127000.0,780.4,1325.0,1275.0,1345.0,1315.0
93710,200200.0,780.2,1951.0,1849.0,1854.0,1884.66666667
92701,372000.0,780.153846154,6742.0,7009.0,7122.0,6957.66666667
95640,227400.0,780.0,124.0,139.0,149.0,137.333333333
91740,447100.0,779.6,573.0,622.0,722.0,639.0
91306,448200.0,779.571428571,2931.0,3303.0,3193.0,3142.33333333
92336,377900.0,779.380952381,9829.0,9956.0,9996.0,9927.0
92692,634400.0,779.333333333,862.0,1038.0,1078.0,992.666666667
95383,213000.0,779.0,81.0,94.0,114.0,96.3333333333
93463,664300.0,779.0,154.0,188.0,213.0,185.0
92630,597800.0,778.875,1728.0,2051.0,2220.0,1999.66666667
95377,414600.0,778.8,992.0,1098.0,1215.0,1101.66666667
91724,481800.0,778.6,1557.0,1579.0,1737.0,1624.33333333
95006,413700.0,778.5,421.0,402.0,473.0,432.0
93401,615200.0,778.5,427.0,492.0,523.0,480.666666667
90715,415400.0,778.4,1930.0,1956.0,1976.0,1954.0
95692,227300.0,778.333333333,395.0,470.0,469.0,444.666666667
90606,382400.0,778.125,3124.0,3226.0,2980.0,3110.0
92868,438600.0,778.0,1126.0,1157.0,1123.0,1135.33333333
95678,291300.0,777.9,1635.0,1591.0,1649.0,1625.0
