Zip,zindex,wh_avg_w,wh_num11,wh_num12,wh_num13,wh_num_avg
90503,738500.0,888.0,1612.0,1536.0,1479.0,1542.33333333
91768,319900.0,888.0,47.0,47.0,46.0,46.6666666667
91711,597300.0,887.222222222,2207.0,2139.0,1891.0,2079.0
91915,453700.0,887.0,610.0,677.0,726.0,671.0
92508,401300.0,887.0,2770.0,2610.0,2676.0,2685.33333333
92832,431400.0,887.0,663.0,666.0,703.0,677.333333333
92270,482600.0,887.0,91.0,94.0,87.0,90.6666666667
94947,625300.0,886.142857143,1621.0,1686.0,1716.0,1674.33333333
95709,267200.0,886.0,247.0,200.0,170.0,205.666666667
95661,379100.0,885.888888889,2915.0,2840.0,2831.0,2862.0
90630,539800.0,885.875,1905.0,1821.0,1680.0,1802.0
92251,188600.0,885.75,500.0,495.0,464.0,486.333333333
91754,546500.0,885.666666667,99.0,77.0,66.0,80.6666666667
90703,634800.0,885.625,810.0,813.0,786.0,803.0
91355,464500.0,885.5,2976.0,2976.0,2933.0,2961.66666667
94574,965100.0,885.5,463.0,485.0,462.0,470.0
90066,986400.0,885.444444444,918.0,933.0,870.0,907.0
91765,624600.0,885.181818182,1040.0,972.0,879.0,963.666666667
95747,391600.0,885.083333333,5281.0,5132.0,4982.0,5131.66666667
94501,727800.0,885.066666667,2009.0,2011.0,1997.0,2005.66666667
92624,747800.0,885.0,201.0,208.0,208.0,205.666666667
94952,629400.0,884.4,417.0,409.0,407.0,411.0
92627,665300.0,884.25,748.0,756.0,756.0,753.333333333
92359,224900.0,884.0,102.0,88.0,80.0,90.0
92626,641900.0,884.0,1650.0,1632.0,1633.0,1638.33333333
94945,692300.0,884.0,713.0,700.0,681.0,698.0
94403,960600.0,883.875,1088.0,1053.0,1067.0,1069.33333333
95682,360100.0,883.375,2442.0,2383.0,2392.0,2405.66666667
94602,660100.0,883.333333333,119.0,163.0,184.0,155.333333333
91360,602000.0,882.727272727,3203.0,3087.0,2911.0,3067.0
95630,424600.0,882.4375,5858.0,5926.0,5840.0,5874.66666667
90039,705900.0,882.333333333,194.0,179.0,200.0,191.0
91910,400100.0,882.214285714,1255.0,1177.0,1041.0,1157.66666667
91016,560300.0,882.0,1035.0,996.0,982.0,1004.33333333
92532,323300.0,881.6,1602.0,1911.0,1931.0,1814.66666667
92203,294400.0,881.5,227.0,264.0,272.0,254.333333333
95672,382100.0,881.333333333,982.0,974.0,916.0,957.333333333
95121,610000.0,881.0,219.0,180.0,193.0,197.333333333
96145,546300.0,881.0,389.0,393.0,336.0,372.666666667
93066,967300.0,881.0,246.0,216.0,217.0,226.333333333
95125,955100.0,880.454545455,1690.0,1748.0,1797.0,1745.0
93060,361100.0,880.333333333,73.0,83.0,80.0,78.6666666667
90620,455700.0,880.25,568.0,542.0,512.0,540.666666667
95148,723200.0,880.222222222,428.0,393.0,350.0,390.333333333
91325,586700.0,880.125,1136.0,994.0,938.0,1022.66666667
91789,699700.0,880.1,653.0,641.0,567.0,620.333333333
91916,354200.0,880.0,79.0,64.0,81.0,74.6666666667
94954,500000.0,879.666666667,1095.0,1034.0,1009.0,1046.0
92880,489900.0,879.571428571,1688.0,1741.0,1618.0,1682.33333333
90701,443400.0,879.5,150.0,145.0,139.0,144.666666667
95008,890500.0,879.4,1047.0,1041.0,940.0,1009.33333333
92563,357400.0,879.307692308,3998.0,4113.0,4179.0,4096.66666667
94530,675600.0,879.2,474.0,505.0,519.0,499.333333333
95118,782000.0,879.125,2141.0,2233.0,2159.0,2177.66666667
90025,751100.0,879.0,695.0,663.0,745.0,701.0
95442,795000.0,879.0,52.0,42.0,47.0,47.0
92592,401200.0,878.941176471,6511.0,6317.0,6407.0,6411.66666667
93021,573700.0,878.818181818,2700.0,2502.0,2347.0,2516.33333333
94515,569800.0,878.5,130.0,112.0,112.0,118.0
91214,702100.0,878.272727273,3865.0,3763.0,3670.0,3766.0
95462,349900.0,878.0,54.0,53.0,52.0,53.0
91364,766500.0,878.0,1729.0,1666.0,1724.0,1706.33333333
92596,344700.0,877.2,1039.0,1105.0,1124.0,1089.33333333
92397,242000.0,877.0,180.0,147.0,158.0,161.666666667
91203,411500.0,877.0,220.0,217.0,212.0,216.333333333
94505,519100.0,877.0,499.0,486.0,469.0,484.666666667
91343,456200.0,876.571428571,461.0,458.0,447.0,455.333333333
94542,669000.0,876.0,95.0,82.0,66.0,81.0
93602,243400.0,876.0,57.0,54.0,66.0,59.0
94551,563900.0,875.833333333,1216.0,1118.0,1122.0,1152.0
92562,366100.0,875.444444444,4686.0,4691.0,4608.0,4661.66666667
92882,407800.0,875.416666667,3343.0,3262.0,2937.0,3180.66666667
92780,574400.0,875.142857143,763.0,740.0,718.0,740.333333333
90623,629200.0,875.0,909.0,870.0,805.0,861.333333333
91501,650500.0,875.0,593.0,622.0,576.0,597.0
94599,760400.0,875.0,34.0,31.0,31.0,32.0
95663,509500.0,875.0,149.0,154.0,144.0,149.0
91320,614200.0,875.0,3617.0,3598.0,3497.0,3570.66666667
90755,406800.0,875.0,21.0,20.0,18.0,19.6666666667
94568,672000.0,874.75,1541.0,1563.0,1582.0,1562.0
95051,859000.0,874.545454545,1441.0,1386.0,1366.0,1397.66666667
91384,468800.0,874.5,1152.0,1117.0,1071.0,1113.33333333
92124,545000.0,874.375,1691.0,1574.0,1510.0,1591.66666667
95765,405200.0,874.142857143,4424.0,4568.0,4598.0,4530.0
93643,227800.0,874.0,79.0,67.0,110.0,85.3333333333
95636,149400.0,874.0,17.0,16.0,15.0,16.0
93711,291500.0,874.0,865.0,878.0,862.0,868.333333333
90604,443500.0,873.8,1242.0,1182.0,1055.0,1159.66666667
90638,466100.0,873.777777778,1242.0,1190.0,1169.0,1200.33333333
92078,502000.0,873.625,2794.0,2979.0,3225.0,2999.33333333
91790,446000.0,873.555555556,296.0,277.0,270.0,281.0
91411,571600.0,873.333333333,556.0,511.0,505.0,524.0
94116,930600.0,873.166666667,481.0,330.0,339.0,383.333333333
92869,614000.0,873.125,1762.0,1709.0,1676.0,1715.66666667
95391,487100.0,873.0,283.0,332.0,396.0,337.0
95758,293400.0,872.75,1564.0,1526.0,1495.0,1528.33333333
92106,925700.0,872.4,1936.0,1887.0,1891.0,1904.66666667
95446,338300.0,872.0,165.0,155.0,132.0,150.666666667
90704,576600.0,872.0,131.0,121.0,121.0,124.333333333
91311,532200.0,871.833333333,1152.0,1062.0,1065.0,1093.0
93631,223500.0,871.571428571,1001.0,1015.0,1028.0,1014.66666667
92064,606400.0,871.272727273,4408.0,4223.0,4217.0,4282.66666667
95465,830700.0,871.0,112.0,115.0,101.0,109.333333333
92354,358900.0,871.0,106.0,73.0,62.0,80.3333333333
92056,412800.0,870.5,1898.0,1888.0,1919.0,1901.66666667
95436,390500.0,870.0,245.0,203.0,188.0,212.0
91901,487200.0,869.6,1116.0,1033.0,994.0,1047.66666667
92691,606600.0,869.4375,5983.0,5664.0,5473.0,5706.66666667
90631,469300.0,869.333333333,1611.0,1556.0,1438.0,1535.0
95247,324200.0,869.0,135.0,117.0,103.0,118.333333333
95073,657000.0,868.75,804.0,797.0,804.0,801.666666667
92584,309800.0,868.333333333,2822.0,2857.0,2795.0,2824.66666667
95046,862700.0,868.0,88.0,75.0,57.0,73.3333333333
94086,987800.0,868.0,233.0,220.0,241.0,231.333333333
95421,440200.0,868.0,34.0,29.0,26.0,29.6666666667
94066,732000.0,867.7,693.0,691.0,686.0,690.0
92833,471300.0,867.666666667,1055.0,1023.0,990.0,1022.66666667
92082,503200.0,867.5,1280.0,1203.0,1121.0,1201.33333333
94044,714100.0,867.428571429,1388.0,1322.0,1242.0,1317.33333333
90240,485500.0,867.25,232.0,203.0,183.0,206.0
91390,548800.0,867.0,100.0,78.0,57.0,78.3333333333
91504,646700.0,867.0,1186.0,1167.0,1195.0,1182.66666667
95757,378600.0,866.7,2274.0,2286.0,2233.0,2264.33333333
95037,779500.0,866.7,2318.0,2182.0,2109.0,2203.0
95448,584400.0,866.6,665.0,615.0,547.0,609.0
91344,523800.0,866.333333333,2488.0,2298.0,2231.0,2339.0
96027,170100.0,866.0,198.0,195.0,183.0,192.0
94020,883000.0,866.0,43.0,37.0,30.0,36.6666666667
92704,416700.0,865.714285714,183.0,182.0,168.0,177.666666667
91040,462100.0,865.666666667,721.0,666.0,643.0,676.666666667
93611,259400.0,865.578947368,6348.0,6192.0,5994.0,6178.0
92586,182700.0,865.0,525.0,536.0,442.0,501.0
95139,672600.0,865.0,307.0,281.0,265.0,284.333333333
93662,156300.0,864.571428571,334.0,316.0,284.0,311.333333333
93654,170100.0,864.142857143,422.0,446.0,408.0,425.333333333
90813,321000.0,864.0,482.0,411.0,432.0,441.666666667
90670,403500.0,864.0,201.0,189.0,181.0,190.333333333
95366,339300.0,864.0,1400.0,1402.0,1335.0,1379.0
95355,246900.0,863.8125,4296.0,3987.0,3967.0,4083.33333333
93636,266000.0,863.75,792.0,846.0,797.0,811.666666667
91745,578900.0,863.454545455,499.0,440.0,422.0,453.666666667
93428,619500.0,863.333333333,226.0,234.0,241.0,233.666666667
91377,692300.0,863.285714286,2404.0,2472.0,2553.0,2476.33333333
95690,291400.0,863.0,19.0,20.0,19.0,19.3333333333
95219,307600.0,863.0,887.0,849.0,793.0,843.0
95128,743300.0,862.75,422.0,424.0,373.0,406.333333333
92708,666300.0,862.714285714,2768.0,2654.0,2617.0,2679.66666667
90029,659100.0,862.666666667,262.0,277.0,322.0,287.0
91941,514100.0,862.6,1795.0,1770.0,1662.0,1742.33333333
92117,513200.0,862.538461538,1574.0,1464.0,1467.0,1501.66666667
91367,625800.0,862.5,3075.0,2928.0,2875.0,2959.33333333
95054,816100.0,862.0,126.0,119.0,127.0,124.0
92501,248200.0,862.0,142.0,142.0,140.0,141.333333333
91748,562900.0,861.666666667,224.0,220.0,194.0,212.666666667
90712,468900.0,861.285714286,513.0,478.0,463.0,484.666666667
93612,166800.0,861.2,1278.0,1325.0,1315.0,1306.0
90280,332800.0,861.0,13.0,11.0,11.0,11.6666666667
93312,267200.0,860.8125,5610.0,5594.0,5839.0,5681.0
92223,259100.0,860.666666667,2361.0,2349.0,2275.0,2328.33333333
93402,420900.0,860.666666667,549.0,572.0,586.0,569.0
91304,528800.0,860.6,914.0,791.0,717.0,807.333333333
92567,262800.0,860.25,409.0,386.0,371.0,388.666666667
95377,414600.0,860.2,1193.0,1194.0,1184.0,1190.33333333
91945,348000.0,860.2,197.0,204.0,262.0,221.0
92391,156700.0,860.0,167.0,155.0,134.0,152.0
92881,464300.0,859.833333333,2919.0,3093.0,3028.0,3013.33333333
96150,342100.0,859.5,1334.0,1254.0,1267.0,1285.0
94510,510400.0,859.142857143,1920.0,1882.0,1798.0,1866.66666667
92655,448100.0,859.0,123.0,109.0,107.0,113.0
95126,673800.0,859.0,428.0,442.0,404.0,424.666666667
94550,672600.0,858.888888889,4105.0,3650.0,3484.0,3746.33333333
93001,494700.0,858.857142857,1656.0,1705.0,1749.0,1703.33333333
95035,729500.0,858.833333333,600.0,553.0,518.0,557.0
94546,581500.0,858.818181818,1793.0,1720.0,1689.0,1734.0
92647,611300.0,858.769230769,2578.0,2532.0,2572.0,2560.66666667
92071,396000.0,858.727272727,4381.0,4272.0,3992.0,4215.0
92530,254000.0,858.555555556,1359.0,1437.0,1386.0,1394.0
90012,408700.0,858.5,106.0,113.0,135.0,118.0
90731,496200.0,858.5,1109.0,1007.0,1026.0,1047.33333333
94005,675800.0,858.0,95.0,97.0,97.0,96.3333333333
92058,386200.0,858.0,889.0,947.0,950.0,928.666666667
91780,654900.0,857.833333333,494.0,451.0,443.0,462.666666667
91730,364200.0,857.545454545,1318.0,1274.0,1201.0,1264.33333333
95818,445800.0,857.333333333,808.0,896.0,883.0,862.333333333
90605,408100.0,857.166666667,1091.0,1181.0,791.0,1021.0
93003,493400.0,857.133333333,3636.0,3571.0,3419.0,3542.0
95678,291300.0,857.0,2804.0,2743.0,2666.0,2737.66666667
91351,399000.0,856.666666667,2342.0,2137.0,2001.0,2160.0
91335,422400.0,856.166666667,1551.0,1503.0,1457.0,1503.66666667
95329,193700.0,856.0,107.0,102.0,98.0,102.333333333
95928,270100.0,856.0,1170.0,1184.0,1215.0,1189.66666667
93442,510500.0,856.0,556.0,537.0,533.0,542.0
93723,272600.0,855.666666667,175.0,181.0,176.0,177.333333333
94523,596100.0,855.5,2944.0,2823.0,2725.0,2830.66666667
93514,335000.0,855.4,706.0,665.0,693.0,688.0
95829,301700.0,854.6,1106.0,1072.0,1003.0,1060.33333333
91350,456400.0,854.444444444,3060.0,2980.0,2794.0,2944.66666667
92084,447300.0,854.142857143,1177.0,1110.0,1016.0,1101.0
93010,525600.0,854.1,1526.0,1521.0,1482.0,1509.66666667
90032,376600.0,854.0,170.0,236.0,192.0,199.333333333
90033,340200.0,854.0,161.0,133.0,94.0,129.333333333
90713,484900.0,853.714285714,2064.0,1945.0,1757.0,1922.0
95062,677900.0,853.555555556,1139.0,1057.0,1066.0,1087.33333333
92595,327000.0,853.285714286,1483.0,1671.0,1557.0,1570.33333333
95819,424500.0,853.25,567.0,599.0,582.0,582.666666667
95223,244700.0,853.0,120.0,106.0,87.0,104.333333333
93444,473600.0,853.0,684.0,624.0,564.0,624.0
93311,266000.0,853.0,2870.0,2778.0,2808.0,2818.66666667
93527,174800.0,853.0,97.0,83.0,76.0,85.3333333333
91911,372300.0,852.941176471,607.0,578.0,543.0,576.0
90504,579000.0,852.875,754.0,711.0,636.0,700.333333333
92028,487100.0,852.8,1787.0,1643.0,1505.0,1645.0
92057,382000.0,852.545454545,2451.0,2592.0,2676.0,2573.0
