Zip,zindex,di_avg_w,di_num11,di_num12,di_num13,di_num_avg
91325,586700.0,646.714285714,632.0,634.0,644.0,636.666666667
91326,676100.0,782.333333333,191.0,172.0,152.0,171.666666667
91331,357500.0,584.2,1116.0,1115.0,1156.0,1129.0
91335,422400.0,677.411764706,1228.0,1189.0,1160.0,1192.33333333
91340,345700.0,608.333333333,847.0,845.0,785.0,825.666666667
91342,404800.0,625.875,1230.0,1186.0,1134.0,1183.33333333
91343,456200.0,640.538461538,1066.0,977.0,1011.0,1018.0
91344,523800.0,669.5,1343.0,1299.0,1299.0,1313.66666667
91345,419000.0,659.0,48.0,45.0,44.0,45.6666666667
91350,456400.0,699.0,643.0,671.0,678.0,664.0
91351,399000.0,645.333333333,816.0,786.0,779.0,793.666666667
91352,396600.0,583.9,1003.0,995.0,1005.0,1001.0
91354,496900.0,727.8,421.0,434.0,505.0,453.333333333
91355,464500.0,708.0,696.0,662.0,664.0,674.0
91356,834400.0,664.25,326.0,295.0,269.0,296.666666667
91360,602000.0,717.111111111,667.0,586.0,564.0,605.666666667
91361,866800.0,802.5,114.0,105.0,98.0,105.666666667
91362,719600.0,728.333333333,602.0,579.0,575.0,585.333333333
91364,766500.0,658.0,375.0,353.0,371.0,366.333333333
91367,625800.0,629.5,803.0,808.0,816.0,809.0
91377,692300.0,803.6,224.0,345.0,407.0,325.333333333
91384,468800.0,637.2,277.0,272.0,358.0,302.333333333
91387,446100.0,668.5,244.0,234.0,258.0,245.333333333
91390,548800.0,801.0,41.0,25.0,19.0,28.3333333333
91401,629700.0,630.6,474.0,444.0,412.0,443.333333333
91402,356400.0,590.375,796.0,726.0,684.0,735.333333333
91403,842500.0,694.0,115.0,111.0,102.0,109.333333333
91405,431500.0,550.8,520.0,511.0,470.0,500.333333333
91406,453400.0,642.923076923,999.0,952.0,942.0,964.333333333
91411,571600.0,554.5,532.0,500.0,524.0,518.666666667
91423,821000.0,678.333333333,276.0,283.0,280.0,279.666666667
91436,1336400.0,762.0,74.0,74.0,82.0,76.6666666667
91501,650500.0,769.5,84.0,88.0,83.0,85.0
91502,445800.0,571.0,169.0,171.0,160.0,166.666666667
91504,646700.0,758.666666667,272.0,245.0,221.0,246.0
91505,615100.0,717.166666667,391.0,400.0,422.0,404.333333333
91506,640600.0,682.8,414.0,409.0,423.0,415.333333333
91601,512400.0,608.0,420.0,410.0,389.0,406.333333333
91602,680600.0,636.333333333,300.0,296.0,271.0,289.0
91604,1017400.0,780.0,61.0,53.0,63.0,59.0
91605,423200.0,648.625,592.0,640.0,567.0,599.666666667
91606,452000.0,648.4,464.0,411.0,372.0,415.666666667
91607,702200.0,780.0,85.0,92.0,74.0,83.6666666667
91701,470000.0,721.3,937.0,895.0,921.0,917.666666667
91702,366600.0,580.0,698.0,665.0,732.0,698.333333333
91706,361100.0,644.315789474,1600.0,1593.0,1432.0,1541.66666667
91708,423500.0,746.0,60.0,86.0,115.0,87.0
91709,584100.0,689.071428571,1297.0,1242.0,1450.0,1329.66666667
91710,408200.0,598.285714286,1330.0,1347.0,1521.0,1399.33333333
91711,597300.0,747.1,760.0,679.0,659.0,699.333333333
91722,401500.0,628.5,615.0,595.0,651.0,620.333333333
91723,436100.0,626.333333333,552.0,563.0,581.0,565.333333333
91724,481800.0,618.8,367.0,343.0,340.0,350.0
91730,364200.0,691.636363636,682.0,670.0,696.0,682.666666667
91731,402300.0,658.166666667,458.0,372.0,361.0,397.0
91732,414100.0,598.294117647,1014.0,983.0,1077.0,1024.66666667
91733,395300.0,577.142857143,373.0,295.0,321.0,329.666666667
91737,544700.0,698.4,370.0,400.0,452.0,407.333333333
91739,547600.0,740.888888889,981.0,1073.0,1257.0,1103.66666667
91740,447100.0,752.25,161.0,142.0,192.0,165.0
91741,586600.0,714.0,644.0,569.0,733.0,648.666666667
91744,371600.0,635.416666667,1226.0,1185.0,1183.0,1198.0
91745,578900.0,697.692307692,581.0,616.0,586.0,594.333333333
91746,374500.0,590.285714286,402.0,409.0,499.0,436.666666667
91748,562900.0,716.714285714,477.0,475.0,441.0,464.333333333
91750,540200.0,726.666666667,208.0,213.0,198.0,206.333333333
91752,405200.0,671.0,375.0,356.0,343.0,358.0
91754,546500.0,621.0,347.0,368.0,355.0,356.666666667
