Zip,zindex,fi_avg_w,fi_num11,fi_num12,fi_num13,fi_num_avg
92071,396000.0,871.0,31.0,40.0,14.0,28.3333333333
90631,469300.0,871.0,49.0,48.0,33.0,43.3333333333
91040,462100.0,871.0,51.0,64.0,64.0,59.6666666667
94565,293900.0,870.833333333,549.0,539.0,522.0,536.666666667
91792,435700.0,870.5,115.0,98.0,75.0,96.0
91722,401500.0,870.0,103.0,92.0,84.0,93.0
91601,512400.0,870.0,41.0,46.0,42.0,43.0
92557,260600.0,869.75,112.0,121.0,104.0,112.333333333
90029,659100.0,869.666666667,214.0,221.0,188.0,207.666666667
94560,581900.0,869.454545455,458.0,444.0,467.0,456.333333333
95835,305200.0,869.285714286,417.0,419.0,397.0,411.0
95746,650400.0,869.0,23.0,28.0,33.0,28.0
90065,599100.0,869.0,160.0,136.0,140.0,145.333333333
93536,259400.0,868.5,181.0,184.0,173.0,179.333333333
92057,382000.0,868.375,381.0,351.0,345.0,359.0
93036,405300.0,868.2,232.0,239.0,240.0,237.0
91977,359000.0,868.125,240.0,247.0,196.0,227.666666667
95050,762900.0,868.0,148.0,151.0,152.0,150.333333333
93534,153200.0,868.0,34.0,36.0,34.0,34.6666666667
91706,361100.0,867.833333333,139.0,131.0,128.0,132.666666667
92653,658300.0,867.666666667,75.0,76.0,69.0,73.3333333333
95035,729500.0,867.166666667,1505.0,1529.0,1518.0,1517.33333333
93001,494700.0,867.0,14.0,14.0,13.0,13.6666666667
92308,176100.0,867.0,15.0,17.0,12.0,14.6666666667
94531,360800.0,866.625,520.0,541.0,456.0,505.666666667
90713,484900.0,866.6,414.0,400.0,393.0,402.333333333
94538,644400.0,866.583333333,464.0,468.0,501.0,477.666666667
92376,251800.0,866.0,21.0,20.0,19.0,20.0
94551,563900.0,865.666666667,64.0,53.0,57.0,58.0
94546,581500.0,865.5,71.0,70.0,76.0,72.3333333333
90650,375800.0,865.333333333,176.0,171.0,156.0,167.666666667
95126,673800.0,865.0,45.0,48.0,53.0,48.6666666667
93030,420200.0,864.6,203.0,181.0,169.0,184.333333333
95687,322200.0,864.571428571,212.0,223.0,202.0,212.333333333
95376,314800.0,864.5,410.0,388.0,372.0,390.0
90038,686200.0,864.0,27.0,28.0,19.0,24.6666666667
94591,323100.0,864.0,996.0,1048.0,1039.0,1027.66666667
91801,539300.0,863.666666667,82.0,78.0,74.0,78.0
90715,415400.0,863.5,170.0,159.0,159.0,162.666666667
94080,698500.0,863.25,507.0,1404.0,607.0,839.333333333
94116,930600.0,862.75,152.0,129.0,129.0,136.666666667
91367,625800.0,862.666666667,229.0,237.0,165.0,210.333333333
90010,741000.0,862.0,15.0,21.0,19.0,18.3333333333
95008,890500.0,861.666666667,46.0,58.0,57.0,53.6666666667
95337,324500.0,861.0,81.0,76.0,75.0,77.3333333333
95210,162500.0,861.0,197.0,189.0,172.0,186.0
92545,211600.0,861.0,94.0,83.0,77.0,84.6666666667
91402,356400.0,860.666666667,209.0,185.0,157.0,183.666666667
94043,909200.0,860.5,57.0,66.0,62.0,61.6666666667
92374,291200.0,860.0,176.0,201.0,193.0,190.0
92590,855000.0,860.0,29.0,41.0,48.0,39.3333333333
92026,412100.0,860.0,100.0,88.0,81.0,89.6666666667
90710,472800.0,859.5,162.0,191.0,193.0,182.0
92277,93200.0,859.0,28.0,30.0,25.0,27.6666666667
94102,783000.0,859.0,13.0,14.0,11.0,12.6666666667
92120,506600.0,859.0,29.0,22.0,24.0,25.0
90034,847800.0,859.0,69.0,79.0,66.0,71.3333333333
90813,321000.0,859.0,247.0,237.0,245.0,243.0
92111,474300.0,858.8,101.0,88.0,89.0,92.6666666667
95054,816100.0,858.333333333,179.0,178.0,163.0,173.333333333
94403,960600.0,858.0,45.0,46.0,45.0,45.3333333333
94587,604100.0,857.0,1167.0,1177.0,1154.0,1166.0
91723,436100.0,856.5,152.0,137.0,119.0,136.0
