Zip,zindex,mr_avg_w,mr_num11,mr_num12,mr_num13,mr_num_avg
92392,190900.0,778.0,155.0,150.0,144.0,149.666666667
94572,380500.0,775.0,25.0,39.0,48.0,37.3333333333
94565,293900.0,774.0,26.0,29.0,38.0,31.0
95688,405900.0,774.0,26.0,36.0,37.0,33.0
92026,412100.0,774.0,53.0,58.0,60.0,57.0
95123,683400.0,773.0,23.0,31.0,47.0,33.6666666667
95660,157400.0,772.166666667,105.0,108.0,119.0,110.666666667
92105,318500.0,770.5,24.0,27.0,30.0,27.0
92590,855000.0,769.0,211.0,232.0,264.0,235.666666667
95692,227300.0,767.0,50.0,39.0,52.0,47.0
94619,533000.0,765.5,26.0,37.0,40.0,34.3333333333
95386,180200.0,761.0,41.0,84.0,101.0,75.3333333333
93644,211100.0,759.0,32.0,24.0,31.0,29.0
95357,231700.0,759.0,47.0,47.0,38.0,44.0
96022,190200.0,759.0,53.0,50.0,45.0,49.3333333333
92065,433000.0,758.0,13.0,29.0,18.0,20.0
95966,159000.0,755.4,159.0,158.0,143.0,153.333333333
95828,203800.0,753.5,162.0,159.0,190.0,170.333333333
95249,177700.0,753.0,14.0,17.0,24.0,18.3333333333
94014,598200.0,752.5,79.0,94.0,105.0,92.6666666667
93301,162500.0,751.0,31.0,31.0,25.0,29.0
95833,272900.0,749.5,35.0,33.0,39.0,35.6666666667
92543,137100.0,744.6,81.0,107.0,110.0,99.3333333333
95501,216800.0,740.25,155.0,115.0,77.0,115.666666667
95823,185300.0,737.454545455,246.0,250.0,254.0,250.0
91710,408200.0,737.0,33.0,35.0,35.0,34.3333333333
92545,211600.0,727.5,65.0,102.0,131.0,99.3333333333
95817,230400.0,720.0,24.0,14.0,11.0,16.3333333333
95965,154100.0,716.5,26.0,26.0,28.0,26.6666666667
95608,430500.0,716.0,74.0,97.0,151.0,107.333333333
95824,144300.0,709.0,14.0,18.0,16.0,16.0
96093,166700.0,704.0,13.0,18.0,29.0,20.0
93505,85800.0,691.0,21.0,19.0,17.0,19.0
92113,303300.0,691.0,18.0,15.0,12.0,15.0
92395,171100.0,681.0,61.0,66.0,84.0,70.3333333333
95422,102200.0,675.5,53.0,54.0,57.0,54.6666666667
95838,199200.0,636.0,15.0,21.0,19.0,18.3333333333
92220,186500.0,623.0,13.0,18.0,18.0,16.3333333333
