Zip,zindex,avg_w
94538,644400.0,798.6
94539,1192900.0,975.222222222
94541,436400.0,690.833333333
94542,669000.0,805.0
94544,443000.0,670.583333333
94545,455700.0,759.0
94546,581500.0,834.9
94547,457800.0,790.2
94549,1226400.0,930.333333333
94550,672600.0,838.666666667
94551,563900.0,837.5
94552,823300.0,942.25
94553,460300.0,762.222222222
94555,722200.0,944.666666667
94556,1108400.0,953.8
94558,494300.0,768.722222222
94559,469800.0,712.8
94560,581900.0,764.166666667
94561,337400.0,803.555555556
94563,1274300.0,958.833333333
94564,405100.0,747.5
94565,293900.0,739.235294118
94566,919800.0,886.555555556
94568,672000.0,864.25
94571,276100.0,797.0
94572,380500.0,747.0
94574,965100.0,823.0
94577,469000.0,760.0
94578,437300.0,734.333333333
94579,469700.0,754.0
94580,447900.0,749.375
94582,944400.0,938.111111111
94583,778700.0,916.333333333
94585,286000.0,810.5
94587,604100.0,812.375
94588,789400.0,919.666666667
94589,236000.0,752.875
94590,218200.0,728.8
94591,323100.0,764.857142857
94595,476400.0,918.0
94596,804600.0,898.333333333
94597,657200.0,897.0
94598,826800.0,906.5
94599,760400.0,797.0
94601,320000.0,743.111111111
94602,660100.0,775.75
94603,255500.0,704.375
94605,401400.0,707.125
94606,393700.0,727.857142857
94607,409500.0,637.0
94608,477100.0,709.666666667
94609,667700.0,670.8
94610,867900.0,805.0
94611,942300.0,900.363636364
94612,442700.0,685.0
94618,1021600.0,868.75
94619,533000.0,764.666666667
94621,231600.0,704.6
94702,688800.0,917.0
94703,729400.0,860.0
94704,790100.0,730.0
94705,1263400.0,821.75
94706,718100.0,902.8
94707,1003600.0,879.5
94708,997000.0,907.5
94709,772100.0,874.0
94710,662800.0,872.0
94801,236800.0,688.666666667
94803,429100.0,774.0
94804,299900.0,665.5
94805,390700.0,703.0
94806,293400.0,711.25
94901,878500.0,804.777777778
94903,772700.0,814.142857143
94904,1474800.0,935.5
94920,2292800.0,958.0
94923,738100.0,817.0
94924,1427700.0,842.0
94925,1071700.0,915.0
94928,414300.0,769.888888889
94930,742200.0,902.5
94931,437000.0,761.0
94939,1331000.0,811.0
94941,1273300.0,929.142857143
94945,692300.0,840.666666667
94947,625300.0,832.375
94949,769200.0,853.0
94952,629400.0,873.5
94954,500000.0,869.666666667
94957,2417300.0,934.0
94960,992700.0,911.666666667
94965,1087800.0,734.0
95003,728300.0,847.4
95004,499200.0,784.0
95006,413700.0,869.0
95008,890500.0,770.5
95010,655600.0,848.0
95014,1549900.0,955.5
95018,473700.0,843.0
95020,595400.0,801.4
95023,404200.0,746.823529412
95030,2063400.0,898.5
95032,1335500.0,944.0
95033,925200.0,931.0
95035,729500.0,840.538461538
95037,779500.0,773.7
95045,471600.0,756.0
95046,862700.0,780.0
95050,762900.0,772.5
95051,859000.0,826.0
95054,816100.0,830.333333333
95060,757300.0,723.0
95062,677900.0,724.111111111
95065,661100.0,875.0
95066,703100.0,886.333333333
95070,2073100.0,930.857142857
95073,657000.0,833.75
95076,421400.0,691.7
95110,517500.0,796.0
95111,532700.0,760.909090909
95112,570500.0,755.833333333
95116,483700.0,737.666666667
95117,845300.0,712.5
95118,782000.0,820.111111111
95119,720100.0,846.0
95120,1195000.0,901.444444444
95121,610000.0,848.7
95122,499500.0,760.75
95123,683400.0,769.0
95124,896300.0,906.666666667
95125,955100.0,784.909090909
95126,673800.0,743.0
95127,548200.0,773.25
95128,743300.0,739.5
95129,1277400.0,949.0
95130,980700.0,888.333333333
95131,706700.0,715.6
95132,746900.0,852.0
95133,609700.0,745.8
95135,922500.0,961.333333333
95136,707200.0,807.6
95138,927000.0,923.5
95139,672600.0,801.5
95148,723200.0,844.6
95203,142900.0,699.25
95204,158400.0,731.75
95205,106800.0,642.142857143
95206,174900.0,669.65
95207,179100.0,752.0
95209,244100.0,764.384615385
95210,162500.0,739.571428571
95212,275800.0,753.857142857
95215,121900.0,712.0
95219,307600.0,826.8
95222,256700.0,822.0
95223,244700.0,849.0
95228,328200.0,829.0
95236,330600.0,792.0
95237,265300.0,761.0
95240,219500.0,729.818181818
95242,306700.0,746.7
95245,192700.0,816.0
95247,324200.0,847.0
95249,177700.0,667.0
95252,245600.0,805.666666667
95255,148900.0,678.0
95304,481900.0,824.333333333
95307,200600.0,753.357142857
95316,236400.0,788.75
95320,252200.0,751.2
95321,209900.0,747.5
95324,238100.0,783.666666667
95326,265800.0,788.6
95327,193300.0,765.0
95328,138800.0,781.0
95329,193700.0,856.0
95330,288700.0,745.0
95336,257800.0,749.615384615
95337,324500.0,801.0
95338,224400.0,774.8
95340,187400.0,729.176470588
95348,201300.0,783.25
95350,193400.0,769.125
95351,139200.0,712.0
95354,164400.0,763.0
95355,246900.0,836.266666667
95356,265900.0,811.333333333
95357,231700.0,804.75
95358,173400.0,749.555555556
95361,258000.0,758.2
95363,252000.0,726.0
95365,96900.0,775.0
95366,339300.0,838.166666667
95367,233600.0,713.2
95368,242000.0,785.75
95370,217900.0,722.428571429
95372,206100.0,830.0
95376,314800.0,761.066666667
95377,414600.0,834.8
95379,164600.0,814.5
95380,198100.0,701.777777778
95382,277100.0,793.666666667
95383,213000.0,811.0
95386,180200.0,786.6
95388,127000.0,781.6
95391,487100.0,875.0
95401,387500.0,869.0
95403,429600.0,697.75
95405,445700.0,894.0
95407,387700.0,790.666666667
95409,536500.0,900.0
95421,440200.0,867.0
95422,102200.0,676.666666667
95423,150500.0,576.5
95425,400200.0,750.666666667
95437,335900.0,776.5
95442,795000.0,758.0
95446,338300.0,856.0
95448,584400.0,812.4
95451,204600.0,747.0
95452,847500.0,889.0
95453,217500.0,793.333333333
95458,118300.0,744.0
95460,537600.0,825.0
95461,232100.0,808.8
95462,349900.0,875.0
95470,367300.0,723.0
95472,653200.0,775.4
95476,591300.0,692.875
95482,284700.0,675.0
95490,228600.0,742.4
95492,483600.0,727.833333333
95501,216800.0,707.833333333
95503,230600.0,831.4
95519,264500.0,827.0
95521,276100.0,821.25
95540,244000.0,685.857142857
95562,181100.0,805.0
95567,264200.0,737.0
95570,353200.0,830.0
95602,376900.0,628.5
95603,340900.0,746.5
95605,173100.0,720.0
95608,430500.0,786.230769231
95610,241500.0,731.333333333
95614,303700.0,806.0
95616,578700.0,888.666666667
95618,536700.0,882.0
95619,242000.0,622.0
95620,333400.0,710.666666667
95621,275000.0,776.857142857
95623,266900.0,819.0
95624,329700.0,824.647058824
95627,205300.0,754.5
95628,417000.0,741.333333333
95630,424600.0,884.6
95631,277400.0,804.666666667
95632,254700.0,787.666666667
95634,224900.0,821.5
95636,149400.0,865.0
95638,455200.0,771.0
95640,227400.0,813.0
95642,257600.0,765.333333333
