Zip,Total Enrollment 11,Total Enrollment 12,Total Enrollment 13,private average
92701,280.0,272.0,245.0,265.666666667
92703,15.0,24.0,21.0,20.0
92704,2616.0,2550.0,2488.0,2551.33333333
92705,915.0,870.0,982.0,922.333333333
92706,43.0,51.0,42.0,45.3333333333
92707,2266.0,2225.0,2251.0,2247.33333333
92708,340.0,338.0,281.0,319.666666667
92780,1208.0,1227.0,1214.0,1216.33333333
92801,1773.0,1830.0,1734.0,1779.0
92802,526.0,535.0,652.0,571.0
92804,717.0,492.0,671.0,626.666666667
92805,736.0,610.0,479.0,608.333333333
92806,128.0,133.0,137.0,132.666666667
92807,1442.0,1450.0,1417.0,1436.33333333
92808,138.0,89.0,95.0,107.333333333
92821,585.0,580.0,627.0,597.333333333
92831,1190.0,1166.0,878.0,1078.0
92833,382.0,402.0,522.0,435.333333333
92835,,,10.0,10.0
92840,824.0,777.0,721.0,774.0
92841,288.0,244.0,186.0,239.333333333
92843,400.0,324.0,358.0,360.666666667
92844,335.0,261.0,261.0,285.666666667
92845,75.0,84.0,94.0,84.3333333333
92860,106.0,215.0,313.0,211.333333333
92865,978.0,953.0,868.0,933.0
92866,1251.0,1214.0,1220.0,1228.33333333
92867,1232.0,1191.0,1198.0,1207.0
92869,808.0,962.0,951.0,907.0
92870,280.0,336.0,372.0,329.333333333
92879,52.0,67.0,48.0,55.6666666667
92880,,10.0,15.0,12.5
92881,714.0,734.0,762.0,736.666666667
92882,916.0,743.0,837.0,832.0
92886,1454.0,1454.0,1537.0,1481.66666667
92887,422.0,392.0,414.0,409.333333333
93001,286.0,207.0,213.0,235.333333333
93003,1290.0,1319.0,1309.0,1306.0
93004,402.0,383.0,388.0,391.0
93010,825.0,740.0,830.0,798.333333333
93012,46.0,38.0,,42.0
93013,340.0,11.0,277.0,209.333333333
93015,67.0,66.0,70.0,67.6666666667
93021,185.0,183.0,11.0,126.333333333
93023,3471.0,3200.0,3906.0,3525.66666667
93030,731.0,713.0,775.0,739.666666667
93033,653.0,560.0,554.0,589.0
93036,101.0,108.0,123.0,110.666666667
93041,234.0,231.0,219.0,228.0
93060,129.0,139.0,146.0,138.0
93061,,20.0,,20.0
93063,467.0,466.0,300.0,411.0
93065,1282.0,1411.0,1479.0,1390.66666667
93066,,,6.0,6.0
93101,288.0,199.0,206.0,231.0
93103,72.0,87.0,286.0,148.333333333
93105,226.0,286.0,417.0,309.666666667
93108,447.0,442.0,444.0,444.333333333
93109,,,13.0,13.0
93110,676.0,289.0,575.0,513.333333333
93111,237.0,264.0,273.0,258.0
93117,459.0,324.0,248.0,343.666666667
93202,135.0,137.0,136.0,136.0
93210,114.0,95.0,89.0,99.3333333333
93212,15.0,15.0,6.0,12.0
93215,48.0,33.0,29.0,36.6666666667
93221,148.0,142.0,145.0,145.0
93222,22.0,,,22.0
93225,19.0,,17.0,18.0
93230,294.0,208.0,204.0,235.333333333
93238,15.0,6.0,,10.5
93243,7.0,8.0,9.0,8.0
93245,460.0,460.0,439.0,453.0
93247,23.0,29.0,29.0,27.0
93257,219.0,186.0,196.0,200.333333333
93263,31.0,25.0,24.0,26.6666666667
93265,20.0,14.0,16.0,16.6666666667
93270,24.0,15.0,,19.5
93274,315.0,314.0,319.0,316.0
93277,1210.0,1040.0,1021.0,1090.33333333
93280,101.0,87.0,81.0,89.6666666667
93291,586.0,575.0,538.0,566.333333333
93292,9.0,9.0,15.0,11.0
93301,84.0,64.0,40.0,62.6666666667
93304,542.0,519.0,527.0,529.333333333
93305,1000.0,966.0,963.0,976.333333333
93306,419.0,371.0,316.0,368.666666667
93307,342.0,363.0,354.0,353.0
93308,297.0,206.0,218.0,240.333333333
93309,606.0,598.0,558.0,587.333333333
93311,348.0,378.0,428.0,384.666666667
93312,184.0,202.0,194.0,193.333333333
93313,106.0,114.0,192.0,137.333333333
93314,485.0,450.0,425.0,453.333333333
93401,658.0,716.0,767.0,713.666666667
93402,14.0,13.0,27.0,18.0
93405,315.0,308.0,287.0,303.333333333
93420,568.0,570.0,563.0,567.0
93422,323.0,306.0,242.0,290.333333333
93436,186.0,161.0,161.0,169.333333333
93441,374.0,309.0,353.0,345.333333333
93446,502.0,327.0,529.0,452.666666667
93454,226.0,206.0,202.0,211.333333333
93455,1485.0,1440.0,1451.0,1458.66666667
93458,11.0,11.0,10.0,10.6666666667
93460,105.0,100.0,110.0,105.0
93465,56.0,56.0,59.0,57.0
93501,11.0,,,11.0
93505,6.0,6.0,6.0,6.0
93510,11.0,7.0,11.0,9.66666666667
93514,31.0,29.0,31.0,30.3333333333
93518,45.0,41.0,36.0,40.6666666667
93523,,8.0,9.0,8.5
93527,28.0,25.0,21.0,24.6666666667
93531,58.0,53.0,43.0,51.3333333333
93534,2439.0,2302.0,2419.0,2386.66666667
93535,777.0,751.0,576.0,701.333333333
93536,1373.0,1300.0,1224.0,1299.0
93544,,6.0,9.0,7.5
93546,,,9.0,9.0
93550,389.0,351.0,367.0,369.0
93551,289.0,265.0,234.0,262.666666667
93553,75.0,75.0,34.0,61.3333333333
93555,372.0,390.0,371.0,377.666666667
93560,,6.0,6.0,6.0
93561,121.0,126.0,237.0,161.333333333
93562,,11.0,11.0,11.0
93571,,7.0,6.0,6.5
93601,,6.0,6.0,6.0
93602,27.0,21.0,133.0,60.3333333333
93610,33.0,25.0,32.0,30.0
93611,135.0,90.0,107.0,110.666666667
93612,273.0,244.0,268.0,261.666666667
93618,34.0,26.0,18.0,26.0
93619,265.0,239.0,221.0,241.666666667
93628,7.0,12.0,,9.5
93630,55.0,65.0,58.0,59.3333333333
93635,199.0,197.0,189.0,195.0
93636,24.0,50.0,21.0,31.6666666667
93637,323.0,328.0,332.0,327.666666667
93638,99.0,91.0,104.0,98.0
93640,8.0,,,8.0
93643,6.0,6.0,,6.0
93644,11.0,7.0,16.0,11.3333333333
93647,25.0,22.0,17.0,21.3333333333
93651,512.0,516.0,620.0,549.333333333
93654,675.0,682.0,644.0,667.0
93662,23.0,,,23.0
93675,53.0,33.0,19.0,35.0
93702,10.0,,15.0,12.5
93703,699.0,655.0,691.0,681.666666667
93704,691.0,653.0,661.0,668.333333333
93705,195.0,184.0,183.0,187.333333333
93710,197.0,236.0,239.0,224.0
93711,6.0,,8.0,7.0
93720,560.0,547.0,552.0,553.0
93721,,,6.0,6.0
93723,6.0,,,6.0
93726,204.0,211.0,228.0,214.333333333
93727,631.0,590.0,617.0,612.666666667
93728,,,6.0,6.0
93901,1131.0,1110.0,1121.0,1120.66666667
93906,419.0,406.0,401.0,408.666666667
93907,68.0,,24.0,46.0
93921,198.0,,197.0,197.5
93923,408.0,421.0,408.0,412.333333333
93927,,,12.0,12.0
93930,,11.0,13.0,12.0
93933,12.0,8.0,9.0,9.66666666667
93940,1102.0,1105.0,1144.0,1117.0
93953,531.0,518.0,522.0,523.666666667
93955,274.0,286.0,256.0,272.0
93960,22.0,16.0,23.0,20.3333333333
94002,1313.0,1073.0,1567.0,1317.66666667
94010,1464.0,1532.0,1897.0,1631.0
94014,584.0,586.0,581.0,583.666666667
94015,472.0,409.0,438.0,439.666666667
94018,79.0,88.0,90.0,85.6666666667
94019,224.0,247.0,269.0,246.666666667
94022,609.0,623.0,644.0,625.333333333
94024,1516.0,1557.0,1594.0,1555.66666667
94025,1618.0,1301.0,1747.0,1555.33333333
94027,1837.0,1873.0,1897.0,1869.0
94028,584.0,569.0,602.0,585.0
94030,279.0,275.0,288.0,280.666666667
94040,1955.0,1946.0,1944.0,1948.33333333
94041,182.0,169.0,157.0,169.333333333
94043,513.0,431.0,554.0,499.333333333
94044,505.0,530.0,523.0,519.333333333
94061,370.0,366.0,409.0,381.666666667
94062,476.0,291.0,507.0,424.666666667
94063,38.0,56.0,68.0,54.0
94066,796.0,776.0,748.0,773.333333333
94070,421.0,399.0,382.0,400.666666667
94080,622.0,609.0,647.0,626.0
94085,1553.0,1592.0,1650.0,1598.33333333
94086,653.0,656.0,513.0,607.333333333
94087,1391.0,1233.0,1434.0,1352.66666667
