Zip,zindex,fi_avg_w,fi_num11,fi_num12,fi_num13,fi_num_avg
91932,382600.0,845.0,106.0,102.0,107.0,105.0
91941,514100.0,808.333333333,63.0,66.0,63.0,64.0
91942,414000.0,930.5,38.0,27.0,24.0,29.6666666667
91945,348000.0,856.0,12.0,11.0,12.0,11.6666666667
91950,317600.0,883.0,387.0,393.0,418.0,399.333333333
91977,359000.0,868.125,240.0,247.0,196.0,227.666666667
91978,414200.0,856.0,29.0,25.0,19.0,24.3333333333
92008,718500.0,898.5,54.0,46.0,51.0,50.3333333333
92009,736500.0,921.333333333,45.0,48.0,47.0,46.6666666667
92011,767800.0,923.0,17.0,14.0,11.0,14.0
92019,435900.0,899.666666667,70.0,70.0,42.0,60.6666666667
92020,416600.0,936.5,35.0,32.0,36.0,34.3333333333
92021,382400.0,804.5,40.0,38.0,32.0,36.6666666667
92025,434900.0,873.333333333,77.0,78.0,68.0,74.3333333333
92026,412100.0,860.0,100.0,88.0,81.0,89.6666666667
92027,367900.0,843.5,101.0,100.0,89.0,96.6666666667
92028,487100.0,823.0,27.0,25.0,30.0,27.3333333333
92036,293500.0,836.0,18.0,20.0,17.0,18.3333333333
92037,1282800.0,909.0,12.0,11.0,11.0,11.3333333333
92056,412800.0,914.5,49.0,40.0,29.0,39.3333333333
92057,382000.0,868.375,381.0,351.0,345.0,359.0
92058,386200.0,877.333333333,63.0,54.0,58.0,58.3333333333
92064,606400.0,889.285714286,287.0,260.0,247.0,264.666666667
92065,433000.0,800.0,15.0,12.0,11.0,12.6666666667
92069,435800.0,949.0,209.0,200.0,200.0,203.0
92071,396000.0,871.0,31.0,40.0,14.0,28.3333333333
92078,502000.0,949.75,135.0,125.0,129.0,129.666666667
92081,466600.0,895.0,44.0,56.0,50.0,50.0
92083,366800.0,940.0,24.0,24.0,26.0,24.6666666667
92084,447300.0,851.0,44.0,41.0,29.0,38.0
92102,363200.0,894.0,23.0,25.0,25.0,24.3333333333
92103,611200.0,845.0,20.0,15.0,17.0,17.3333333333
92106,925700.0,851.0,110.0,102.0,106.0,106.0
92107,766900.0,908.0,13.0,13.0,12.0,12.6666666667
92111,474300.0,858.8,101.0,88.0,89.0,92.6666666667
92113,303300.0,814.0,26.0,26.0,26.0,26.0
92114,342000.0,851.111111111,1469.0,1412.0,1347.0,1409.33333333
92117,513200.0,791.0,48.0,62.0,52.0,54.0
92118,1424100.0,902.0,42.0,37.0,38.0,39.0
92120,506600.0,859.0,29.0,22.0,24.0,25.0
92121,515300.0,658.0,11.0,30.0,29.0,23.3333333333
92122,589500.0,902.0,160.0,148.0,123.0,143.666666667
92123,466800.0,913.0,58.0,45.0,42.0,48.3333333333
92124,545000.0,907.25,112.0,111.0,110.0,111.0
92126,461200.0,890.333333333,1520.0,1515.0,1504.0,1513.0
92127,683300.0,925.375,385.0,355.0,377.0,372.333333333
92128,526900.0,903.333333333,362.0,302.0,286.0,316.666666667
92129,652300.0,897.75,871.0,786.0,802.0,819.666666667
92130,896100.0,912.0,34.0,35.0,40.0,36.3333333333
92131,671500.0,929.6,253.0,217.0,214.0,228.0
92139,341000.0,885.0,1006.0,1002.0,964.0,990.666666667
92154,357500.0,884.615384615,671.0,621.0,554.0,615.333333333
92201,198700.0,945.0,39.0,38.0,37.0,38.0
92223,259100.0,926.333333333,146.0,157.0,154.0,152.333333333
92234,231100.0,884.2,195.0,186.0,180.0,187.0
92236,174100.0,925.0,23.0,26.0,22.0,23.6666666667
92253,386400.0,903.0,21.0,21.0,26.0,22.6666666667
92260,321800.0,897.5,44.0,40.0,41.0,41.6666666667
92262,312700.0,889.0,143.0,151.0,152.0,148.666666667
92264,277100.0,930.0,48.0,53.0,38.0,46.3333333333
92277,93200.0,859.0,28.0,30.0,25.0,27.6666666667
92307,200400.0,812.0,23.0,27.0,27.0,25.6666666667
92308,176100.0,867.0,15.0,17.0,12.0,14.6666666667
92311,93000.0,758.0,23.0,16.0,14.0,17.6666666667
92313,295500.0,895.0,30.0,28.0,18.0,25.3333333333
92316,245900.0,833.5,53.0,57.0,65.0,58.3333333333
92324,212500.0,917.0,54.0,53.0,46.0,51.0
92336,377900.0,916.777777778,329.0,336.0,325.0,330.0
92337,302100.0,877.25,82.0,98.0,84.0,88.0
92346,264600.0,896.0,57.0,53.0,53.0,54.3333333333
92354,358900.0,933.0,58.0,50.0,51.0,53.0
