Zip,zindex,hi_avg_w,hi_num11,hi_num12,hi_num13,hi_num_avg,,zindex rank,avg_w rank,,,,
91765,624600,830,1779,1905,1945,1876.333333,,813,949,,,,
91766,326200,711.7333333,6965,6995,7324,7094.666667,,381,141,,,,
91767,331600,694.4285714,4266,4161,4203,4210,,389.5,72,,,,
91768,319900,755.2222222,4087,4057,3637,3927,,366,473,,,,
91770,490600,754.2142857,3197,3077,3023,3099,,675,462,,,,
91773,518300,827.4,2235,2205,2270,2236.666667,,712,936,,,,
91775,753000,834.5,378,409,380,389,,931,968.5,,,,
91776,556900,713.2857143,2129,2179,2212,2173.333333,,754,148,,,,
91780,654900,809.5,887,905,939,910.3333333,,842,871,,,,
91784,586900,890.6666667,672,675,676,674.3333333,,783,1105.5,,,,
91786,402400,791.4,3082,3068,3148,3099.333333,,510,776,,,,
91789,699700,844.8,2016,2038,2102,2052,,888,1005,,,,
91790,446000,830.1,3209,3343,3514,3355.333333,,599,951,,,,
91791,517900,816.7777778,3325,3286,3198,3269.666667,,711,902,,,,
91792,435700,755,871,891,891,884.3333333,,581,470,,,,
91801,539300,730.7777778,2832,2803,2840,2825,,734,271,,,,
91803,548300,786,1188,1212,1207,1202.333333,,746,737,,,,
91901,487200,806,250,276,251,259,,671,856.5,,,,
91902,529400,832,399,412,421,410.6666667,,722,957.5,,,,
91906,227300,678,86,80,104,90,,208,37.5,,,,
91910,400100,817.1875,7804,7646,7885,7778.333333,,501,903,,,,
91911,372300,785.5,8384,8444,8310,8379.333333,,456,736,,,,
91913,457300,830.6363636,4568,4598,4804,4656.666667,,620,952,,,,
91914,609900,871.5,1652,1658,1731,1680.333333,,800,1076,,,,
91915,453700,831.75,1800,1989,2132,1973.666667,,614,955,,,,
91916,354200,865,27,37,26,30,,424,1067,,,,
91932,382600,721.8333333,1924,1842,1891,1885.666667,,476,207,,,,
91935,602900,763.25,313,281,287,293.6666667,,794,544,,,,
91941,514100,795.4,2048,2177,2226,2150.333333,,706,805,,,,
91942,414000,848.75,595,535,552,560.6666667,,535,1019,,,,
91945,348000,781.4,980,973,1374,1109,,418,699,,,,
91950,317600,776.5384615,5150,5406,5472,5342.666667,,362,657,,,,
91962,305100,642,121,129,119,123,,346,9,,,,
91977,359000,761.8333333,3538,3464,3460,3487.333333,,433,526,,,,
91978,414200,741.5,525,602,685,604,,537,352.5,,,,
92004,229600,706.3333333,259,275,249,261,,214,115,,,,
92007,860900,835,91,85,83,86.33333333,,991,970.5,,,,
92008,718500,794.1,1659,1697,1701,1685.666667,,902,799,,,,
92009,736500,859.8,846,830,795,823.6666667,,919,1052,,,,
92011,767800,825,153,156,165,158,,942,928,,,,
92014,1606500,836.5,45,46,52,47.66666667,,1102,976,,,,
92019,435900,798.5454545,2060,2081,2081,2074,,583.5,816,,,,
92020,416600,784.0769231,2037,2134,2146,2105.666667,,545,721,,,,
92021,382400,768.6,1770,1683,1673,1708.666667,,474.5,586,,,,
92024,803000,788.5,1030,1051,1091,1057.333333,,965,758,,,,
92025,434900,732.7272727,3792,3694,3798,3761.333333,,580,276,,,,
92026,412100,736.4444444,4242,4346,4339,4309,,532,303.5,,,,
92027,367900,721.3333333,4904,4861,4877,4880.666667,,446,202.5,,,,
92028,487100,734.0909091,3055,3016,3008,3026.333333,,669.5,286,,,,
92029,630500,828,77,79,93,83,,820,941,,,,
92036,293500,738.25,350,360,413,374.3333333,,325,323.5,,,,
92037,1282800,877.6,820,795,744,786.3333333,,1078,1089,,,,
92040,408900,769,972,990,1085,1015.666667,,528,589.5,,,,
92056,412800,763.5,1627,1761,1793,1727,,533,546.5,,,,
92057,382000,768.7272727,4067,4208,4306,4193.666667,,472,587,,,,
92058,386200,770.125,1840,1854,1872,1855.333333,,478,600,,,,
92061,480700,773,129,129,147,135,,656,625.5,,,,
92064,606400,816.3,1256,1321,1437,1338,,797,900,,,,
92065,433000,769.4444444,1407,1378,1404,1396.333333,,579,592,,,,
92067,2737100,911,94,88,82,88,,1125,1121,,,,
92069,435800,793,3898,3982,3988,3956,,582,783.5,,,,
92071,396000,822.3,1330,1383,1443,1385.333333,,493,921,,,,
92075,1172600,771.6666667,207,225,237,223,,1059,616.5,,,,
92078,502000,797.625,1753,1812,1969,1844.666667,,692,812,,,,
92081,466600,771.6666667,1514,1536,1541,1530.333333,,631,616.5,,,,
92082,503200,783.6,1104,1103,1134,1113.666667,,694,718,,,,
92083,366800,724.9166667,3483,3506,3556,3515,,444,221,,,,
92084,447300,725.375,3164,3344,3419,3309,,603,226,,,,
92101,486800,709.1818182,1956,2136,2207,2099.666667,,667,131,,,,
92102,363200,754.0588235,3495,3654,3757,3635.333333,,439,461,,,,
92103,611200,818.4,808,937,1003,916,,804,909.5,,,,
92104,478800,817.6666667,585,569,593,582.3333333,,653.5,907,,,,
92105,318500,726.7142857,3782,3796,3813,3797,,363.5,235,,,,
92106,925700,776.1,1684,1656,1719,1686.333333,,1009,655,,,,
92107,766900,849.75,487,489,480,485.3333333,,941,1024,,,,
92109,718700,790.8571429,1530,1407,1303,1413.333333,,903,773,,,,
92110,503000,830,389,379,383,383.6666667,,693,949,,,,
92111,474300,721.625,1889,1859,1874,1874,,649,205,,,,
92113,303300,709.6923077,4274,4511,4405,4396.666667,,342,134,,,,
92114,342000,737.5384615,2467,2460,2536,2487.666667,,411,315,,,,
92115,397100,747.6363636,2634,2676,2911,2740.333333,,495,403,,,,
92116,461600,787,515,497,502,504.6666667,,625,744,,,,
92117,513200,754.5,2849,2753,2709,2770.333333,,704,464.5,,,,
92118,1424100,863.75,375,376,410,387,,1092,1064,,,,
92119,487000,839,652,604,601,619,,668,983.5,,,,
92120,506600,834.5,1213,1207,1196,1205.333333,,695,968.5,,,,
92121,515300,636.5,518,596,611,575,,708,6,,,,
92122,589500,825.8,1157,1106,1136,1133,,784,931.5,,,,
92123,466800,813.8571429,603,527,527,552.3333333,,632,893,,,,
92124,545000,800,1650,1608,1582,1613.333333,,739,826,,,,
92126,461200,821.5555556,1412,1380,1371,1387.666667,,624,916,,,,
92127,683300,875.125,461,530,509,500,,876,1082,,,,
92128,526900,837.8333333,457,502,566,508.3333333,,718,980,,,,
92129,652300,856.75,805,828,882,838.3333333,,839,1045,,,,
92130,896100,888.2727273,484,529,607,540,,1000,1102,,,,
92131,671500,857.7142857,770,740,707,739,,860,1048,,,,
92139,341000,782.7142857,1585,1560,1562,1569,,410,710,,,,
92154,357500,772.375,8810,8674,8652,8712,,430,621,,,,
92173,327700,775.6666667,2991,2964,3110,3021.666667,,383,652,,,,
92201,198700,759.1666667,8476,8466,8618,8520,,168,507,,,,
92203,294400,806,929,1046,1055,1010,,327,856.5,,,,
92210,701500,867,170,186,199,185,,890,1072,,,,
92211,325000,807,266,300,316,294,,379,863,,,,
92220,186500,766.3333333,1774,1779,1733,1762,,149,565,,,,
92223,259100,807.3333333,2899,2967,3102,2989.333333,,264,864,,,,
92225,122000,627.6,1240,1237,1252,1243,,38,3,,,,
92227,147200,755.5555556,3538,3599,3611,3582.666667,,75,478,,,,
92231,174300,687.1818182,5799,5757,5891,5815.666667,,123,56,,,,
92234,231100,745.7777778,5672,5734,5580,5662,,218,387,,,,
92236,174100,711.6,4727,4801,4979,4835.666667,,122,140,,,,
92240,151000,714.5714286,3635,3188,3208,3343.666667,,80,160,,,,
92243,159400,747.05,7653,7672,7952,7759,,95,397,,,,
92249,160800,822,842,842,874,852.6666667,,97,919,,,,
92250,143600,734.5,1022,986,982,996.6666667,,70,289,,,,
92251,188600,776.6,2047,2084,2170,2100.333333,,152,658,,,,
92252,101800,777.5,106,102,90,99.33333333,,13,663.5,,,,
92253,386400,736.2857143,2971,2966,3082,3006.333333,,479,302,,,,
