id2,name,zindex,latitude3,longitude4
395645,Mather Air Force Base,301600,38.549764,-121.282595
30417,Ben Lomond,501900,37.108686,-122.092634
30642,Buellton,490100,34.620707,-120.220341
26526,Pismo Beach,694200,35.156364,-120.659508
8996,Newcastle,519600,38.874275,-121.15329
33040,Needles,,34.785872,-114.598458
39870,Morongo Valley,115600,34.101196,-116.588677
41987,Brisbane,676200,37.689142,-122.411452
33510,Portola,,39.827811,-120.454982
18914,Lake Isabella,125700,35.565445,-118.467348
16677,Acton,484400,34.47805,-118.223235
13318,Pixley,114000,35.956669,-119.315612
16389,Silverado,633500,33.75524,-117.63116
17264,Cambria,619700,35.597308,-121.017382
52481,Helendale,,34.76183,-117.331219
15893,Wheatland,226900,39.065715,-121.39201
13695,San Joaquin,115500,36.598455,-120.188691
35808,Moss Landing,,36.826508,-121.766999
57218,Felton,474900,37.076031,-122.066475
16583,Portola Valley,3400300,37.36954,-122.221852
40110,Oak View,495400,34.396573,-119.302999
114651,Del Monte Forest,1683100,36.587843,-121.94584
7809,Weed,155600,41.487314,-122.389432
5482,Lake Arrowhead,263900,34.262435,-117.19906
22745,Shandon,,35.653229,-120.270578
17174,Broadmoor Village,660000,37.690932,-122.48021
51274,Carmel Valley,874500,36.39976,-121.647955
39132,Jackson,257700,38.331269,-120.775768
46477,Meadow Vista,392300,39.011432,-121.033895
5147,Hidden Valley Lake,207200,38.802465,-122.547219
28730,Guerneville,336300,38.521386,-122.993702
8185,Del Mar,2082800,32.962912,-117.2244
35623,Diamond Springs,239600,38.678738,-120.81129
18319,Gonzales,255500,36.539251,-121.36953
114956,Emerald Lake Hills,1649100,37.465588,-122.267827
10939,Cool,303800,38.89794,-120.972784
37116,Alturas,,41.438409,-120.534004
16791,Arbuckle,,39.000785,-122.054708
10902,Colfax,284000,39.094625,-120.897677
3491,Avalon,,33.388602,-118.454657
4905,Glen Ellen,840900,38.358212,-122.521811
396554,Cambrian Park,972000,37.256543,-121.930615
4757,Forestville,388800,38.498776,-122.910496
32988,Mount Shasta,228700,41.322356,-122.349756
24797,Frazier Park,159500,34.851648,-119.052481
6922,San Juan Bautista,473700,36.833015,-121.516457
21307,Williams,173700,39.116357,-122.259682
