Zip,zindex,wh_avg_w,wh_num11,wh_num12,wh_num13,wh_num_avg,,zindex rank,avg_w rank,,,,
92004,229600,844,56,46,34,45.33333333,,207,494,,,,
92007,860900,944.5,404,406,401,403.6666667,,944,1037,,,,
92008,718500,897.4,3151,3152,3175,3159.333333,,857,827,,,,
92009,736500,935.1,4478,4514,4447,4479.666667,,874,1010,,,,
92011,767800,923,638,664,681,661,,896,962.5,,,,
92014,1606500,950,373,374,375,374,,1055,1052.5,,,,
92019,435900,820.4545455,4596,4605,4348,4516.333333,,544.5,333,,,,
92020,416600,784.6153846,2372,2405,2490,2422.333333,,507,154,,,,
92021,382400,795.7,2261,2218,2017,2165.333333,,444.5,204,,,,
92024,803000,893.1111111,3325,3194,3196,3238.333333,,919,809,,,,
92025,434900,840,2517,2373,2375,2421.666667,,541,466.5,,,,
92026,412100,804.125,1828,1726,1696,1750,,494,242,,,,
92027,367900,833.7,1612,1526,1506,1548,,417,427,,,,
92028,487100,852.8,1787,1643,1505,1645,,628.5,553,,,,
92029,630500,907,276,266,231,257.6666667,,775,890.5,,,,
92036,293500,832.75,1153,1215,1296,1221.333333,,310,417,,,,
92037,1282800,960.2,1880,1926,1918,1908,,1031,1072,,,,
92040,408900,807.8333333,2991,2920,2977,2962.666667,,492,252,,,,
92056,412800,870.5,1898,1888,1919,1901.666667,,495,665,,,,
92057,382000,852.5454545,2451,2592,2676,2573,,442,552,,,,
92058,386200,858,889,947,950,928.6666667,,448,586.5,,,,
92064,606400,871.2727273,4408,4223,4217,4282.666667,,753,668,,,,
92065,433000,847.6666667,2759,2628,2531,2639.333333,,540,518,,,,
92067,2737100,957.6666667,683,676,664,674.3333333,,1079,1067,,,,
92069,435800,923.5714286,2195,2127,2114,2145.333333,,543,969,,,,
92071,396000,858.7272727,4381,4272,3992,4215,,461,591,,,,
92075,1172600,938.3333333,986,977,1012,991.6666667,,1012,1020,,,,
92078,502000,873.625,2794,2979,3225,2999.333333,,650,680,,,,
92081,466600,851,969,883,902,918,,591,538.5,,,,
92082,503200,867.5,1280,1203,1121,1201.333333,,652,651,,,,
92083,366800,833.2,1084,1039,1053,1058.666667,,415,423,,,,
92084,447300,854.1428571,1177,1110,1016,1101,,564,567,,,,
92101,486800,826.1666667,293,321,366,326.6666667,,626,376,,,,
92102,363200,915,255,231,227,237.6666667,,410,923.5,,,,
92103,611200,911.6,525,535,568,542.6666667,,759,915,,,,
92104,478800,936,67,73,106,82,,613.5,1013.5,,,,
92105,318500,808.3333333,91,75,76,80.66666667,,343.5,253,,,,
92106,925700,872.4,1936,1887,1891,1904.666667,,962,673,,,,
92107,766900,942,875,859,885,873,,895,1028,,,,
92109,718700,894.4285714,680,698,702,693.3333333,,858,816,,,,
92110,503000,910,343,292,306,313.6666667,,651,903,,,,
92111,474300,825.3076923,886,825,815,842,,609,364,,,,
92114,342000,824.3333333,71,66,67,68,,382,360,,,,
92115,397100,803.5714286,314,278,296,296,,463,240,,,,
92116,461600,889,20,25,24,23,,585,782,,,,
92117,513200,862.5384615,1574,1464,1467,1501.666667,,662,617,,,,
92118,1424100,905.75,1630,1698,1695,1674.333333,,1045,877,,,,
92119,487000,903.2,963,932,914,936.3333333,,627,861,,,,
92120,506600,901.3333333,1751,1790,1735,1758.666667,,653,852,,,,
92121,515300,710.5,262,295,286,281,,666,21,,,,
92122,589500,927.8,1507,1511,1464,1494,,740,983,,,,
92123,466800,839.7142857,353,330,342,341.6666667,,592,465,,,,
92124,545000,874.375,1691,1574,1510,1591.666667,,697,687,,,,
92126,461200,889.4444444,1126,1093,1038,1085.666667,,584,784,,,,
92127,683300,921.25,2784,2929,2904,2872.333333,,831,954,,,,
92128,526900,906.6666667,2594,2505,2532,2543.666667,,676,887,,,,
92129,652300,917.4166667,4191,4031,3939,4053.666667,,794,937,,,,
92130,896100,940.25,5236,5140,5031,5135.666667,,953,1024,,,,
92131,671500,915.2857143,2727,2569,2568,2621.333333,,815,927,,,,
92139,341000,846.5,292,259,232,261,,381,509.5,,,,
92154,357500,839.5454545,294,284,226,268,,401,462,,,,
92201,198700,843,1083,1059,1022,1054.666667,,163,487,,,,
92203,294400,881.5,227,264,272,254.3333333,,312,738,,,,
92210,701500,940,294,263,246,267.6666667,,845,1022,,,,
92211,325000,904,181,200,202,194.3333333,,355,864.5,,,,
92220,186500,779.5714286,431,400,365,398.6666667,,141,131,,,,
92223,259100,860.6666667,2361,2349,2275,2328.333333,,256,607.5,,,,
92225,122000,745.5,554,548,518,540,,30,55,,,,
92227,147200,852.375,390,367,343,366.6666667,,65,550,,,,
92234,231100,835.8571429,846,780,662,762.6666667,,211,439,,,,
92236,174100,922,145,146,165,152,,115,956,,,,
92240,151000,778,688,580,544,604,,72,126.5,,,,
92243,159400,888.125,491,465,439,465,,87,778,,,,
92250,143600,825.75,138,124,130,130.6666667,,60,367.5,,,,
92251,188600,885.75,500,495,464,486.3333333,,144,763,,,,
92252,101800,836,327,304,264,298.3333333,,11,440.5,,,,
92253,386400,840.8333333,1380,1263,1147,1263.333333,,449,469,,,,
92256,112600,843,123,106,96,108.3333333,,20,487,,,,
92260,321800,904.4,1815,1857,1841,1837.666667,,349,869,,,,
92262,312700,836.75,869,833,767,823,,337,445,,,,
