Zip,zindex,aa_avg_w,aa_num11,aa_num12,aa_num13,aa_num_avg
90010,741000.0,784.0,14.0,14.0,20.0,16.0
91343,456200.0,783.571428571,179.0,161.0,183.0,174.333333333
95843,304600.0,783.4,613.0,607.0,557.0,592.333333333
90638,466100.0,783.333333333,74.0,71.0,67.0,70.6666666667
95377,414600.0,783.25,306.0,305.0,273.0,294.666666667
92119,487000.0,783.0,172.0,146.0,136.0,151.333333333
92832,431400.0,783.0,36.0,34.0,29.0,33.0
91411,571600.0,782.333333333,185.0,184.0,184.0,184.333333333
91761,357500.0,782.0,452.0,410.0,360.0,407.333333333
94619,533000.0,781.777777778,950.0,930.0,987.0,955.666666667
92139,341000.0,781.666666667,615.0,607.0,558.0,593.333333333
90504,579000.0,781.0,269.0,283.0,300.0,284.0
94510,510400.0,781.0,334.0,317.0,296.0,315.666666667
94901,878500.0,780.0,16.0,16.0,14.0,15.3333333333
92620,768300.0,780.0,43.0,53.0,66.0,54.0
95816,425100.0,779.5,138.0,168.0,153.0,153.0
92505,301400.0,779.4,207.0,226.0,197.0,210.0
95037,779500.0,779.333333333,64.0,60.0,54.0,59.3333333333
95023,404200.0,779.0,24.0,15.0,14.0,17.6666666667
94542,669000.0,779.0,102.0,98.0,90.0,96.6666666667
91792,435700.0,779.0,27.0,21.0,23.0,23.6666666667
91941,514100.0,778.9,762.0,705.0,712.0,726.333333333
95008,890500.0,778.5,95.0,116.0,119.0,110.0
91016,560300.0,778.428571429,340.0,332.0,327.0,333.0
94903,772700.0,778.333333333,55.0,57.0,46.0,52.6666666667
92707,380100.0,778.0,12.0,18.0,12.0,14.0
95118,782000.0,777.0,148.0,152.0,157.0,152.333333333
93001,494700.0,777.0,27.0,27.0,28.0,27.3333333333
91763,332800.0,776.8,140.0,146.0,129.0,138.333333333
92025,434900.0,776.75,100.0,90.0,81.0,90.3333333333
92313,295500.0,776.666666667,155.0,132.0,128.0,138.333333333
92503,292300.0,775.75,498.0,548.0,490.0,512.0
91723,436100.0,775.666666667,225.0,174.0,167.0,188.666666667
92582,234000.0,775.5,70.0,56.0,59.0,61.6666666667
92201,198700.0,775.0,95.0,88.0,91.0,91.3333333333
91340,345700.0,775.0,18.0,14.0,12.0,14.6666666667
92020,416600.0,774.25,317.0,308.0,307.0,310.666666667
91367,625800.0,774.2,540.0,514.0,547.0,533.666666667
90755,406800.0,773.0,219.0,203.0,199.0,207.0
91356,834400.0,772.75,199.0,203.0,208.0,203.333333333
92019,435900.0,772.555555556,348.0,338.0,336.0,340.666666667
90731,496200.0,772.3,538.0,521.0,527.0,528.666666667
93245,182200.0,772.25,314.0,286.0,273.0,291.0
93117,754600.0,772.0,34.0,27.0,20.0,27.0
91104,648700.0,772.0,269.0,274.0,254.0,265.666666667
95355,246900.0,771.818181818,391.0,354.0,356.0,367.0
94706,718100.0,771.333333333,174.0,107.0,112.0,131.0
90066,986400.0,771.285714286,579.0,557.0,575.0,570.333333333
91932,382600.0,771.25,111.0,99.0,97.0,102.333333333
92801,424600.0,771.142857143,197.0,191.0,198.0,195.333333333
90242,414700.0,770.833333333,188.0,197.0,198.0,194.333333333
91010,429800.0,770.4,174.0,164.0,131.0,156.333333333
92336,377900.0,770.1,1531.0,1458.0,1361.0,1450.0
93901,398700.0,770.0,64.0,56.0,44.0,54.6666666667
92626,641900.0,770.0,57.0,57.0,49.0,54.3333333333
94596,804600.0,770.0,35.0,28.0,32.0,31.6666666667
94513,452000.0,769.666666667,784.0,711.0,724.0,739.666666667
95757,378600.0,769.6,1287.0,1316.0,1329.0,1310.66666667
92374,291200.0,769.1,650.0,639.0,643.0,644.0
94945,692300.0,769.0,17.0,16.0,25.0,19.3333333333
95116,483700.0,769.0,16.0,21.0,18.0,18.3333333333
93551,302900.0,768.5,1192.0,1188.0,1035.0,1138.33333333
90802,278200.0,768.5,282.0,244.0,259.0,261.666666667
95901,161900.0,767.4,103.0,99.0,100.0,100.666666667
90501,545800.0,767.333333333,102.0,107.0,101.0,103.333333333
94132,854100.0,767.0,80.0,69.0,84.0,77.6666666667
92704,416700.0,767.0,23.0,23.0,15.0,20.3333333333
94043,909200.0,766.0,31.0,25.0,21.0,25.6666666667
92501,248200.0,765.333333333,94.0,92.0,82.0,89.3333333333
92337,302100.0,765.111111111,570.0,548.0,503.0,540.333333333
90260,430300.0,764.818181818,858.0,843.0,877.0,859.333333333
90621,467200.0,764.666666667,176.0,188.0,174.0,179.333333333
94553,460300.0,764.666666667,65.0,57.0,62.0,61.3333333333
90746,442000.0,764.25,1580.0,1482.0,1436.0,1499.33333333
92504,274700.0,763.666666667,447.0,403.0,344.0,398.0
95993,242300.0,763.666666667,61.0,58.0,63.0,60.6666666667
92057,382000.0,763.6,547.0,522.0,488.0,519.0
91406,453400.0,763.428571429,333.0,313.0,298.0,314.666666667
91752,405200.0,763.0,75.0,82.0,84.0,80.3333333333
94710,662800.0,763.0,28.0,32.0,30.0,30.0
92649,679100.0,763.0,25.0,24.0,17.0,22.0
92551,231400.0,762.25,1520.0,1512.0,1597.0,1543.0
95035,729500.0,762.2,177.0,169.0,137.0,161.0
95219,307600.0,762.2,281.0,297.0,276.0,284.666666667
91748,562900.0,762.0,33.0,30.0,24.0,29.0
92840,447800.0,762.0,22.0,17.0,29.0,22.6666666667
93906,321700.0,761.4,139.0,130.0,103.0,124.0
91401,629700.0,761.0,140.0,116.0,109.0,121.666666667
95123,683400.0,760.636363636,469.0,411.0,400.0,426.666666667
95961,169400.0,760.5,92.0,86.0,74.0,84.0
92507,280600.0,760.5,503.0,437.0,404.0,448.0
95829,301700.0,760.2,588.0,554.0,509.0,550.333333333
94585,286000.0,760.0,249.0,463.0,501.0,404.333333333
90241,488300.0,759.75,217.0,204.0,207.0,209.333333333
92570,240500.0,759.7,554.0,548.0,555.0,552.333333333
95148,723200.0,759.625,205.0,191.0,164.0,186.666666667
91945,348000.0,759.4,269.0,265.0,383.0,305.666666667
91978,414200.0,759.0,158.0,139.0,111.0,136.0
90029,659100.0,759.0,18.0,20.0,22.0,20.0
95472,653200.0,759.0,14.0,24.0,27.0,21.6666666667
91355,464500.0,758.75,198.0,207.0,186.0,197.0
91745,578900.0,758.5,36.0,30.0,35.0,33.6666666667
93274,147600.0,758.4,427.0,399.0,372.0,399.333333333
93311,266000.0,758.181818182,658.0,647.0,631.0,645.333333333
93458,253900.0,758.0,17.0,14.0,12.0,14.3333333333
93041,311800.0,758.0,24.0,23.0,18.0,21.6666666667
94703,729400.0,758.0,451.0,448.0,435.0,444.666666667
96007,174000.0,758.0,14.0,17.0,19.0,16.6666666667
95688,405900.0,757.833333333,263.0,236.0,236.0,245.0
93230,160900.0,757.785714286,408.0,404.0,408.0,406.666666667
91601,512400.0,757.6,185.0,154.0,154.0,164.333333333
95358,173400.0,757.0,50.0,49.0,45.0,48.0
95054,816100.0,756.5,83.0,75.0,73.0,77.0
95691,295400.0,755.6,263.0,253.0,247.0,254.333333333
92675,643900.0,755.5,98.0,105.0,122.0,108.333333333
92106,925700.0,755.285714286,291.0,281.0,308.0,293.333333333
90715,415400.0,755.25,272.0,264.0,271.0,269.0
95380,198100.0,755.0,17.0,21.0,24.0,20.6666666667
90806,422800.0,754.75,343.0,344.0,323.0,336.666666667
92509,285500.0,754.5,265.0,265.0,210.0,246.666666667
91303,394400.0,754.25,98.0,105.0,99.0,100.666666667
91335,422400.0,754.0,373.0,343.0,333.0,349.666666667
90502,371800.0,753.5,43.0,41.0,49.0,44.3333333333
92307,200400.0,753.428571429,539.0,479.0,494.0,504.0
91950,317600.0,753.0,42.0,48.0,50.0,46.6666666667
95655,301600.0,752.5,38.0,42.0,38.0,39.3333333333
93291,192700.0,752.428571429,133.0,123.0,119.0,125.0
94505,519100.0,752.0,24.0,21.0,16.0,20.3333333333
94538,644400.0,751.4,320.0,305.0,299.0,308.0
95819,424500.0,751.25,133.0,128.0,136.0,132.333333333
90744,372200.0,751.25,173.0,123.0,96.0,130.666666667
93536,259400.0,751.230769231,1807.0,1702.0,1715.0,1741.33333333
94949,769200.0,751.0,29.0,32.0,39.0,33.3333333333
92027,367900.0,751.0,168.0,158.0,155.0,160.333333333
93722,189900.0,750.583333333,1098.0,923.0,909.0,976.666666667
96002,209900.0,750.0,41.0,43.0,46.0,43.3333333333
95834,311500.0,750.0,567.0,468.0,454.0,496.333333333
93940,617500.0,750.0,68.0,65.0,70.0,67.6666666667
92555,296400.0,749.428571429,1208.0,1158.0,1170.0,1178.66666667
93422,425200.0,749.0,21.0,16.0,14.0,17.0
95758,293400.0,748.75,1005.0,990.0,951.0,982.0
92021,382400.0,748.142857143,311.0,329.0,332.0,324.0
93401,615200.0,748.0,17.0,21.0,20.0,19.3333333333
95831,356500.0,747.777777778,715.0,758.0,790.0,754.333333333
