Zip,zindex,avg_w,num11,num12,num13,num_avg
96022,190200.0,829.666666667,2031.0,2057.0,2126.0,2071.33333333
95722,407200.0,829.5,195.0,179.0,172.0,182.0
95521,276100.0,829.2,1732.0,1753.0,1780.0,1755.0
91384,468800.0,829.2,2687.0,2847.0,2815.0,2783.0
91773,518300.0,829.090909091,5020.0,4853.0,4861.0,4911.33333333
95228,328200.0,829.0,167.0,159.0,168.0,164.666666667
92587,345300.0,829.0,377.0,353.0,358.0,362.666666667
92106,925700.0,828.9,4395.0,4325.0,4421.0,4380.33333333
90012,408700.0,828.833333333,2699.0,2829.0,2867.0,2798.33333333
91910,400100.0,828.75,10721.0,10380.0,10522.0,10541.0
93402,420900.0,828.666666667,852.0,872.0,887.0,870.333333333
92078,502000.0,828.555555556,5314.0,5630.0,6120.0,5688.0
92203,294400.0,828.5,1215.0,1372.0,1383.0,1323.33333333
92626,641900.0,827.916666667,5323.0,5466.0,5501.0,5430.0
95472,653200.0,827.636363636,2743.0,2883.0,3027.0,2884.33333333
92683,528200.0,827.411764706,9399.0,9455.0,9461.0,9438.33333333
90230,639800.0,827.333333333,5028.0,4956.0,4840.0,4941.33333333
95519,264500.0,827.0,1313.0,1319.0,1346.0,1326.0
95219,307600.0,826.8,2633.0,2654.0,2677.0,2654.66666667
93311,266000.0,826.727272727,7717.0,7917.0,8114.0,7916.0
92109,718700.0,826.571428571,2644.0,2498.0,2355.0,2499.0
94122,980300.0,826.571428571,2736.0,2867.0,2866.0,2823.0
91941,514100.0,826.5,5368.0,5524.0,5446.0,5446.0
90670,403500.0,826.0,3982.0,3879.0,3780.0,3880.33333333
92391,156700.0,826.0,297.0,291.0,291.0,293.0
93442,510500.0,826.0,874.0,887.0,892.0,884.333333333
95051,859000.0,826.0,5856.0,5841.0,5882.0,5859.66666667
94019,904400.0,825.4,2157.0,2133.0,2187.0,2159.0
90045,815900.0,825.333333333,3385.0,3355.0,3217.0,3319.0
91304,528800.0,825.2,2835.0,2724.0,2561.0,2706.66666667
95460,537600.0,825.0,348.0,359.0,365.0,357.333333333
93238,194600.0,825.0,65.0,40.0,40.0,48.3333333333
91502,445800.0,825.0,1999.0,1997.0,1891.0,1962.33333333
93667,238900.0,825.0,397.0,376.0,354.0,375.666666667
90717,570100.0,825.0,2765.0,2669.0,2560.0,2664.66666667
95624,329700.0,824.444444444,13072.0,13056.0,13038.0,13055.3333333
95713,285700.0,824.0,839.0,803.0,768.0,803.333333333
96073,313300.0,824.0,1512.0,1454.0,1497.0,1487.66666667
93060,361100.0,824.0,557.0,576.0,580.0,571.0
95018,473700.0,823.5,1542.0,1617.0,1547.0,1568.66666667
92249,160800.0,823.0,846.0,846.0,879.0,857.0
94574,965100.0,823.0,996.0,1005.0,985.0,995.333333333
94086,987800.0,823.0,1353.0,1370.0,1362.0,1361.66666667
92373,419100.0,822.75,3219.0,3236.0,3163.0,3206.0
93433,381900.0,822.333333333,965.0,911.0,881.0,919.0
95726,217800.0,822.0,506.0,495.0,516.0,505.666666667
95222,256700.0,822.0,398.0,399.0,430.0,409.0
93614,225900.0,821.0,716.0,734.0,701.0,717.0
93405,598800.0,820.875,1810.0,1899.0,1968.0,1892.33333333
91344,523800.0,820.692307692,11762.0,11261.0,11057.0,11360.0
93066,967300.0,820.5,676.0,672.0,674.0,674.0
91364,766500.0,820.428571429,3440.0,3288.0,3342.0,3356.66666667
95118,782000.0,820.111111111,5152.0,5442.0,5455.0,5349.66666667
91390,548800.0,820.0,160.0,135.0,113.0,136.0
94619,533000.0,819.888888889,2929.0,2930.0,3051.0,2970.0
95819,424500.0,819.75,1359.0,1411.0,1381.0,1383.66666667
94066,732000.0,819.166666667,3315.0,3301.0,3349.0,3321.66666667
92139,341000.0,819.142857143,3887.0,3814.0,3739.0,3813.33333333
91505,615100.0,818.166666667,2440.0,2506.0,2540.0,2495.33333333
95667,279600.0,818.0,4836.0,4747.0,4904.0,4829.0
91101,452600.0,818.0,871.0,900.0,871.0,880.666666667
93711,291500.0,817.5,1986.0,2056.0,2157.0,2066.33333333
92860,467800.0,817.444444444,4984.0,4811.0,4893.0,4896.0
91345,419000.0,817.0,452.0,458.0,485.0,465.0
94923,738100.0,817.0,19.0,24.0,14.0,19.0
93265,220400.0,817.0,252.0,231.0,245.0,242.666666667
90712,468900.0,816.375,3576.0,3452.0,3362.0,3463.33333333
94109,933300.0,816.333333333,2011.0,1959.0,1824.0,1931.33333333
95648,379300.0,816.181818182,6184.0,6241.0,6251.0,6225.33333333
92123,466800.0,816.0,1653.0,1572.0,1582.0,1602.33333333
95245,192700.0,816.0,66.0,77.0,66.0,69.6666666667
96097,132300.0,815.5,999.0,1015.0,1239.0,1084.33333333
91935,602900.0,815.25,867.0,771.0,750.0,796.0
92252,101800.0,815.0,485.0,464.0,399.0,449.333333333
95110,517500.0,815.0,963.0,1009.0,1070.0,1014.0
95666,181100.0,815.0,142.0,141.0,131.0,138.0
90604,443500.0,814.923076923,7551.0,7473.0,7405.0,7476.33333333
92019,435900.0,814.909090909,7729.0,7738.0,7608.0,7691.66666667
92832,431400.0,814.6,3180.0,3135.0,3139.0,3151.33333333
94903,772700.0,814.142857143,2765.0,2684.0,2670.0,2706.33333333
91351,399000.0,814.111111111,6421.0,6265.0,6171.0,6285.66666667
96057,141100.0,814.0,60.0,57.0,54.0,57.0
93601,279900.0,814.0,227.0,243.0,210.0,226.666666667
91724,481800.0,813.8,3581.0,3518.0,3383.0,3494.0
93420,573300.0,813.714285714,3837.0,3793.0,3721.0,3783.66666667
93314,355600.0,813.6,3220.0,3113.0,3014.0,3115.66666667
93551,302900.0,813.181818182,7970.0,8161.0,7323.0,7818.0
95640,227400.0,813.0,291.0,293.0,306.0,296.666666667
90602,448600.0,813.0,598.0,575.0,568.0,580.333333333
90755,406800.0,813.0,1319.0,1305.0,1419.0,1347.66666667
94401,703600.0,812.75,1704.0,1808.0,1837.0,1783.0
95448,584400.0,812.4,1602.0,1521.0,1413.0,1512.0
94587,604100.0,812.375,5895.0,5938.0,5932.0,5921.66666667
93021,573700.0,812.333333333,5283.0,5150.0,4992.0,5141.66666667
93428,619500.0,812.333333333,533.0,556.0,568.0,552.333333333
91754,546500.0,812.285714286,3561.0,3566.0,3618.0,3581.66666667
92315,296800.0,811.333333333,914.0,880.0,918.0,904.0
