Zip,zindex,aa_avg_w,aa_num11,aa_num12,aa_num13,aa_num_avg,,zindex rank,avg_w rank,,,,
91776,556900,718,49,58,67,58,,506,225.5,,,,
91784,586900,871.3333333,91,93,87,90.33333333,,531,777,,,,
91786,402400,801.125,509,470,495,491.3333333,,316,585,,,,
91789,699700,825,170,152,143,155,,620,666,,,,
91790,446000,820.5,116,120,117,117.6666667,,394,656,,,,
91791,517900,821.5,144,137,125,135.3333333,,476,659,,,,
91792,435700,779,27,21,23,23.66666667,,379,486,,,,
91801,539300,833.5,43,31,32,35.33333333,,493,691,,,,
91902,529400,836,27,26,42,31.66666667,,485,702.5,,,,
91910,400100,810.25,297,258,244,266.3333333,,309,625.5,,,,
91911,372300,797.8571429,210,179,143,177.3333333,,277,573,,,,
91913,457300,839.7,499,475,478,484,,411,713,,,,
91914,609900,867.25,164,147,145,152,,545,768,,,,
91915,453700,830,192,180,192,188,,406,678.5,,,,
91932,382600,771.25,111,99,97,102.3333333,,293,457,,,,
91941,514100,778.9,762,705,712,726.3333333,,472,484,,,,
91942,414000,790,95,85,87,89,,339,535.5,,,,
91945,348000,759.4,269,265,383,305.6666667,,249,406,,,,
91950,317600,753,42,48,50,46.66666667,,212,373,,,,
91977,359000,739.9166667,862,778,723,787.6666667,,263,316,,,,
91978,414200,759,158,139,111,136,,340,402.5,,,,
92008,718500,728,62,71,50,61,,630,263.5,,,,
92009,736500,841.5,46,43,38,42.33333333,,644,719.5,,,,
92011,767800,833,26,21,28,25,,661,689.5,,,,
92019,435900,772.5555556,348,338,336,340.6666667,,381,465,,,,
92020,416600,774.25,317,308,307,310.6666667,,348,469,,,,
92021,382400,748.1428571,311,329,332,324,,292,356,,,,
92025,434900,776.75,100,90,81,90.33333333,,378,476,,,,
92026,412100,731.3333333,142,152,139,144.3333333,,336,280,,,,
92027,367900,751,168,158,155,160.3333333,,270,364.5,,,,
92028,487100,717,38,32,26,32,,447.5,220.5,,,,
92029,630500,831,11,15,12,12.66666667,,562,683.5,,,,
92036,293500,746,59,65,80,68,,185,346.5,,,,
92037,1282800,783.5,61,48,44,51,,763,507.5,,,,
92040,408900,677.5,34,26,26,28.66666667,,333,96,,,,
92056,412800,803.6666667,69,76,85,76.66666667,,337,598.5,,,,
92057,382000,763.6,547,522,488,519,,291,427,,,,
92058,386200,790.5,315,295,290,300,,294,538.5,,,,
92064,606400,844,120,125,118,121,,542,724,,,,
92065,433000,808,12,13,14,13,,377,617,,,,
92069,435800,873.2,178,162,164,168,,380,779,,,,
92071,396000,702,38,37,13,29.33333333,,302,165.5,,,,
92078,502000,873.25,133,133,136,134,,461,780,,,,
92081,466600,818.5,97,94,82,91,,420,650,,,,
92083,366800,835.3333333,59,64,59,60.66666667,,269,701,,,,
92084,447300,792,112,110,96,106,,397,543,,,,
92101,486800,733.25,253,255,254,254,,445,292,,,,
92102,363200,739.7142857,587,551,519,552.3333333,,265,315,,,,
92103,611200,848,161,141,174,158.6666667,,549,734,,,,
92104,478800,834.6666667,80,71,59,70,,436.5,695,,,,
92105,318500,741.4615385,673,623,650,648.6666667,,213.5,321,,,,
92106,925700,755.2857143,291,281,308,293.3333333,,711,382,,,,
92107,766900,787,57,44,33,44.66666667,,660,524,,,,
92109,718700,744.6666667,200,158,119,159,,631,335.5,,,,
92110,503000,817,123,134,133,130,,462,647,,,,
92111,474300,722,414,369,319,367.3333333,,433,241.5,,,,
92113,303300,674,474,439,367,426.6666667,,199,86,,,,
92114,342000,732.3076923,1555,1377,1293,1408.333333,,244,287,,,,
92115,397100,713.0833333,740,934,1112,928.6666667,,304,209,,,,
92116,461600,795.8,151,160,133,148,,415,563,,,,
92117,513200,727.1666667,474,424,405,434.3333333,,470,256,,,,
92118,1424100,879.5,38,36,33,35.66666667,,775,785,,,,
92119,487000,783,172,146,136,151.3333333,,446,502,,,,
92120,506600,799.75,294,267,252,271,,463,580,,,,
92121,515300,643.5,145,132,128,135,,474,38.5,,,,
92122,589500,786.5,124,109,88,107,,532,519.5,,,,
92123,466800,790.5,243,233,230,235.3333333,,421,538.5,,,,
92124,545000,789.1428571,436,373,331,380,,498,532,,,,
92126,461200,817.6666667,443,386,357,395.3333333,,414,648,,,,
92127,683300,830.6,150,127,106,127.6666667,,610,681,,,,
92128,526900,785.6666667,128,115,126,123,,482,514.5,,,,
92129,652300,823.1428571,236,221,213,223.3333333,,580,664,,,,
92130,896100,841.5,51,45,45,47,,703,719.5,,,,
92131,671500,801.6666667,179,148,132,153,,595,589,,,,
92139,341000,781.6666667,615,607,558,593.3333333,,243,496,,,,
92154,357500,744.9,256,227,213,232,,260,340,,,,
92201,198700,775,95,88,91,91.33333333,,88,470.5,,,,
92211,325000,809,12,14,13,13,,228,622,,,,
92220,186500,744,262,257,244,254.3333333,,73,329,,,,
92223,259100,792.5555556,365,371,355,363.6666667,,144,549,,,,
92225,122000,606.5,153,146,138,145.6666667,,16,15,,,,
92234,231100,799,130,130,121,127,,111,577.5,,,,
92236,174100,851,53,57,65,58.33333333,,58,740,,,,
92240,151000,681.5714286,388,343,309,346.6666667,,31,101,,,,
92243,159400,700,33,33,26,30.66666667,,40,159,,,,
92251,188600,808.5,39,36,33,36,,76,619.5,,,,
92252,101800,695,15,17,12,14.66666667,,8,140,,,,
92253,386400,798,93,101,107,100.3333333,,295,574.5,,,,
92260,321800,818.5,66,63,44,57.66666667,,222,650,,,,
92262,312700,708.25,253,259,239,250.3333333,,209,195,,,,
92264,277100,839.5,75,66,60,67,,166.5,711,,,,
92277,93200,713.3333333,255,232,254,247,,5,211.5,,,,
92284,136300,702.5,86,90,95,90.33333333,,23,171.5,,,,
92307,200400,753.4285714,539,479,494,504,,91,374,,,,
92308,176100,720.1428571,389,397,405,397,,61,230,,,,
92311,93000,711.1111111,496,487,493,492,,4,204,,,,
92313,295500,776.6666667,155,132,128,138.3333333,,188,475,,,,
92316,245900,730.4,219,192,184,198.3333333,,129,275,,,,
92324,212500,732.2222222,507,521,409,479,,99,286,,,,
92335,255000,734.8181818,352,315,303,323.3333333,,139,301,,,,
92336,377900,770.1,1531,1458,1361,1450,,285,452,,,,
92337,302100,765.1111111,570,548,503,540.3333333,,195.5,434,,,,
92344,241700,700,137,154,148,146.3333333,,124,159,,,,
92345,179000,715.9545455,989,1028,1034,1017,,64,218,,,,
92346,264600,738.7692308,657,634,591,627.3333333,,152,310,,,,
92354,358900,792,50,29,40,39.66666667,,262,543,,,,
92371,214900,794,77,81,104,87.33333333,,100,556.5,,,,
92373,419100,785.6,153,175,167,165,,353,513,,,,
92374,291200,769.1,650,639,643,644,,179,446,,,,
92376,251800,720.7058824,1405,1259,1154,1272.666667,,132,233,,,,
92377,317300,744.8333333,1009,879,841,909.6666667,,211,339,,,,
92392,190900,717.5714286,1872,1946,1829,1882.333333,,79,223,,,,
92394,177100,698,183,196,160,179.6666667,,63,149,,,,
92395,171100,691.1333333,1302,1233,1251,1262,,49,128,,,,
92399,303100,728,30,27,20,25.66666667,,198,263.5,,,,
92404,197500,688.8125,1492,1486,1297,1425,,86,119,,,,
92405,173400,662.5,622,526,487,545,,53.5,62,,,,
92407,234600,736.3076923,1091,1032,1060,1061,,118,303,,,,
92408,195700,693.5,125,142,171,146,,85,134.5,,,,
92501,248200,765.3333333,94,92,82,89.33333333,,131,435,,,,
92503,292300,775.75,498,548,490,512,,182,474,,,,
92504,274700,763.6666667,447,403,344,398,,162,428.5,,,,
92505,301400,779.4,207,226,197,210,,192,489,,,,
92506,371000,744.5,594,564,490,549.3333333,,271,333.5,,,,
92507,280600,760.5,503,437,404,448,,173,412.5,,,,
92508,401300,835,570,556,549,558.3333333,,312,698,,,,
92509,285500,754.5,265,265,210,246.6666667,,174,378,,,,
92530,254000,806.875,277,303,239,273,,135,612,,,,
92532,323300,828.2,234,261,219,238,,225,673,,,,
92543,137100,682,226,240,227,231,,24,103,,,,
92544,192300,708.3333333,211,216,237,221.3333333,,80,196,,,,
92545,211600,713.3333333,489,479,484,484,,97,211.5,,,,
92551,231400,762.25,1520,1512,1597,1543,,112,422,,,,
92553,222100,686.25,1305,1276,1248,1276.333333,,106,111,,,,
92555,296400,749.4285714,1208,1158,1170,1178.666667,,189,359,,,,
92557,260600,733.9090909,1528,1445,1276,1416.333333,,147,295,,,,
92562,366100,796.3333333,417,432,445,431.3333333,,268,566,,,,
92563,357400,829.6666667,635,618,610,621,,258,677,,,,
92567,262800,854,22,20,21,21,,150,748,,,,
92570,240500,759.7,554,548,555,552.3333333,,122,408,,,,
92571,227300,733.8,704,701,746,717,,108.5,294,,,,
92582,234000,775.5,70,56,59,61.66666667,,116,472,,,,
92583,184500,730.2857143,377,387,381,381.6666667,,71,274,,,,
92584,309800,819.125,402,415,355,390.6666667,,206,652,,,,
92585,280300,799.3333333,229,218,208,218.3333333,,172,579,,,,
92586,182700,805.5,109,96,67,90.66666667,,70,606,,,,
92590,855000,699,105,106,112,107.6666667,,697,154.5,,,,
92591,377800,799.8571429,286,256,251,264.3333333,,284,581,,,,
92592,401200,832.125,347,348,350,348.3333333,,311,686.5,,,,
92595,327000,842.8,198,208,176,194,,231,723,,,,
92596,344700,787,82,89,93,88,,246,524,,,,
92602,790000,792.3333333,73,75,72,73.33333333,,674,546.5,,,,
92604,682000,806.4,133,120,113,122,,608,609,,,,
92606,691400,870,18,17,12,15.66666667,,615,773.5,,,,
92612,659300,818.5,52,56,53,53.66666667,,588,650,,,,
92614,611100,789.3333333,58,72,63,64.33333333,,548,533,,,,
92620,768300,780,43,53,66,54,,662,491.5,,,,
92626,641900,770,57,57,49,54.33333333,,567,450,,,,
92627,665300,743,17,20,15,17.33333333,,591,323.5,,,,
92629,776700,786,12,15,13,13.33333333,,667,516.5,,,,
92630,597800,803.5,80,75,65,73.33333333,,536,596.5,,,,
92646,682100,840,23,21,13,19,,609,714.5,,,,
92647,611300,794,35,36,37,36,,550,556.5,,,,
92648,797500,807,21,25,24,23.33333333,,679,613,,,,
92649,679100,763,25,24,17,22,,606,424,,,,
92653,658300,835,24,19,24,22.33333333,,586,698,,,,
92656,511400,793,85,76,68,76.33333333,,467,552,,,,
92660,1380600,781,16,18,17,17,,771,494,,,,
92663,1221300,830,31,33,30,31.33333333,,755,678.5,,,,
92672,765100,850,35,28,23,28.66666667,,658,739,,,,
92675,643900,755.5,98,105,122,108.3333333,,570,383,,,,
92683,528200,724,22,21,22,21.66666667,,483,249,,,,
92688,573500,868.3333333,56,53,54,54.33333333,,518,771,,,,
92691,606600,813.6,138,111,109,119.3333333,,543,639,,,,
92692,634400,841,17,15,18,16.66666667,,563,717.5,,,,
92694,732200,869,16,18,18,17.33333333,,641,772,,,,
92701,372000,865,25,28,20,24.33333333,,275,767,,,,
92704,416700,767,23,23,15,20.33333333,,349,438,,,,
92705,792900,860,24,31,27,27.33333333,,677,761,,,,
92707,380100,778,12,18,12,14,,289,480,,,,
92708,666300,837,20,26,34,26.66666667,,592,704.5,,,,
92780,574400,800,116,139,120,125,,520,582,,,,
92782,642300,809.5,43,47,47,45.66666667,,568,623,,,,
92801,424600,771.1428571,197,191,198,195.3333333,,362.5,456,,,,
92802,447600,739.6666667,65,62,59,62,,398,313,,,,
92804,446500,786.0833333,366,336,321,341,,396,518,,,,
92805,418400,692,34,24,20,26,,351,131,,,,
92806,501000,677,38,41,32,37,,460,94.5,,,,
92807,627100,801,54,55,59,56,,559,584,,,,
92808,648200,875,16,22,26,21.33333333,,573,782,,,,
