Zip,zindex,avg_w,zindex rank,avg_w rank,,,,,,
95307,200600,845,59,266,,,,,,
95316,236400,776,80,160,,,,,,
95328,138800,813,10,213.5,,,,,,
95350,193400,765,52,140.5,,,,,,
95351,139200,869,11,307,,,,,,
95355,246900,925,84,352,,,,,,
95358,173400,819.6666667,29.5,227.5,,,,,,
95361,258000,658,87,29,,,,,,
95367,233600,740,76,103.5,,,,,,
95370,217900,707,63.5,62,,,,,,
95376,314800,847.3333333,123,271.5,,,,,,
95379,164600,886,26,328,,,,,,
95386,180200,746,40,113,,,,,,
95401,387500,763.75,171,138,,,,,,
95403,429600,853.75,208,286,,,,,,
95404,554600,795.5,275,191,,,,,,
95405,445700,854.5,216,290,,,,,,
95407,387700,779,172,164,,,,,,
95409,536500,877,272,317.5,,,,,,
95436,390500,841,174,262,,,,,,
95461,232100,792,75,183,,,,,,
95465,830700,870,337,310,,,,,,
95472,653200,871.1666667,307.5,313,,,,,,
95476,591300,781,284,168,,,,,,
95482,284700,774.5,104,154,,,,,,
95490,228600,714,70,70,,,,,,
95492,483600,728,237,82,,,,,,
95501,216800,670.5,62,38,,,,,,
95503,230600,840,73,260,,,,,,
95521,276100,834.5,98,254,,,,,,
95603,340900,851.5,145,280,,,,,,
95608,430500,736.6666667,210,98,,,,,,
95616,578700,855,280,292.5,,,,,,
95623,266900,747,91,114,,,,,,
95624,329700,821,137,232,,,,,,
95630,424600,846,206,268.5,,,,,,
95634,224900,769,69,145.5,,,,,,
95648,379300,751,168,122,,,,,,
95650,473700,931,230.5,358,,,,,,
95658,520100,891,264,332,,,,,,
95660,157400,824.5,19,236.5,,,,,,
95662,330800,807,138,207,,,,,,
95667,279600,753,101,125,,,,,,
95677,348700,954,151,370,,,,,,
95682,360100,855,156,292.5,,,,,,
95687,322200,793.5,133,186,,,,,,
95688,405900,852,187,282.5,,,,,,
95691,295400,631,111,19,,,,,,
95722,407200,806,188,205,,,,,,
95757,378600,697,167,55,,,,,,
95765,405200,909.5,186,340.5,,,,,,
95817,230400,780,72,166,,,,,,
95822,194800,716,54,73,,,,,,
95823,185300,768,45,143,,,,,,
95826,244300,813,83,213.5,,,,,,
95827,224800,774,68,152.5,,,,,,
95831,356500,820,153,230,,,,,,
95833,272900,771,94,147.5,,,,,,
95834,311500,858,120,295,,,,,,
95835,305200,885,117,326,,,,,,
95843,304600,726,116,79,,,,,,
95901,161900,719.3333333,23,75,,,,,,
95926,255500,801.5,85.5,198,,,,,,
95928,270100,862,93,297,,,,,,
95942,277100,853,99.5,284,,,,,,
95945,285400,832.3333333,105,252,,,,,,
95949,335100,849.5,142,276,,,,,,
95959,368800,802,161,200,,,,,,
95965,154100,724,18,78,,,,,,
95966,159000,583,20,7,,,,,,
95969,195000,791.5,55,181,,,,,,
95973,280800,780,103,166,,,,,,
95991,189300,737.5,47,100,,,,,,
96001,217900,819,63.5,225.5,,,,,,
96002,209900,786.5,60,175,,,,,,
96003,234100,791,77,179.5,,,,,,
96007,174000,829,32,244.5,,,,,,
96022,190200,854,48,287.5,,,,,,
96067,230200,762,71,135,,,,,,
96073,313300,870,121,310,,,,,,
96080,145500,696.3333333,13,54,,,,,,
96130,115800,619,3,15.5,,,,,,
96137,313500,666,122,35,,,,,,
96146,507900,925,256,352,,,,,,
96161,500600,916,253,345,,,,,,
