Zip,zindex,as_avg_w,as_num11,as_num12,as_num13,as_num_avg,,zindex rank,avg_w rank,,,,
92123,466800,879.6,155,136,118,136.3333333,,402,291,,,,
92124,545000,923.8333333,336,333,316,328.3333333,,486,529,,,,
92126,461200,914.6666667,1329,1325,1348,1334,,394,466.5,,,,
92127,683300,966.75,1300,1402,1540,1414,,607,766,,,,
92128,526900,951.5,1013,985,944,980.6666667,,468,682,,,,
92129,652300,955.25,1952,1870,1945,1922.333333,,572,700,,,,
92130,896100,982.1666667,2197,2296,2367,2286.666667,,715,816,,,,
92131,671500,965.3333333,1004,1056,1106,1055.333333,,591,757,,,,
92139,341000,828.5,50,54,56,53.33333333,,223,114.5,,,,
92154,357500,859,23,18,12,17.66666667,,239,213,,,,
92201,198700,920.5,56,61,72,63,,85,500.5,,,,
92210,701500,933,21,18,18,19,,621,578.5,,,,
92211,325000,968,13,15,15,14.33333333,,208,773,,,,
92220,186500,772.2,188,191,170,183,,70,34,,,,
92223,259100,907.3333333,170,173,166,169.6666667,,137,426,,,,
92234,231100,852.5,33,42,42,39,,111,185.5,,,,
92236,174100,983,27,26,27,26.66666667,,55,818,,,,
92243,159400,939,63,60,64,62.33333333,,36,604,,,,
92251,188600,997,18,12,12,14,,73,833,,,,
92253,386400,877,57,53,43,51,,272,278,,,,
92260,321800,955.3333333,137,131,130,132.6666667,,203,701,,,,
92262,312700,859,53,52,49,51.33333333,,193,213,,,,
92307,200400,877,62,70,71,67.66666667,,88,278,,,,
92308,176100,921.3333333,106,106,111,107.6666667,,58,509.5,,,,
92311,93000,830,11,14,15,13.33333333,,2,120.5,,,,
92313,295500,873.5,46,52,51,49.66666667,,176,264,,,,
92316,245900,856,41,38,34,37.66666667,,126,205.5,,,,
92324,212500,876.6666667,82,80,83,81.66666667,,97,274.5,,,,
92335,255000,952,15,16,14,15,,134,687,,,,
92336,377900,899.7272727,324,326,323,324.3333333,,264,380,,,,
92337,302100,852.25,86,74,73,77.66666667,,182.5,182.5,,,,
92344,241700,851,26,25,24,25,,121,175,,,,
92345,179000,863.2,81,75,91,82.33333333,,61,231,,,,
92346,264600,890.4285714,242,231,249,240.6666667,,143,328,,,,
92354,358900,945,149,119,119,129,,241,637.5,,,,
92371,214900,964.5,46,53,42,47,,98,752,,,,
92373,419100,923,257,284,302,281,,331,520.5,,,,
92374,291200,897.5555556,640,627,605,624,,167,367,,,,
92376,251800,855.5,43,47,41,43.66666667,,128,201.5,,,,
92377,317300,839,22,20,19,20.33333333,,195,145,,,,
92392,190900,893.3333333,170,185,197,184,,76,349,,,,
92394,177100,835,13,14,13,13.33333333,,60,133,,,,
92395,171100,864.6666667,56,56,42,51.33333333,,47,236,,,,
92399,303100,923.5,52,57,41,50,,185,525.5,,,,
92404,197500,837.6666667,128,130,114,124,,83,138,,,,
92407,234600,879.6666667,75,78,87,80,,117,292,,,,
92408,195700,860,68,56,61,61.66666667,,82,218,,,,
92503,292300,895.5555556,341,348,313,334,,170,357,,,,
92504,274700,902.6,130,136,119,128.3333333,,151,401,,,,
92505,301400,898.3333333,172,181,155,169.3333333,,179,373,,,,
92506,371000,945.6666667,81,79,65,75,,252,643,,,,
92507,280600,887.6666667,114,117,112,114.3333333,,160,319,,,,
92508,401300,948.1666667,425,442,434,433.6666667,,292,666,,,,
92509,285500,865.5,79,77,77,77.66666667,,163.5,238,,,,
92530,254000,883.6666667,61,55,52,56,,131,305.5,,,,
92532,323300,917.8,119,155,143,139,,206,488,,,,
92543,137100,794,18,12,13,14.33333333,,20,58,,,,
92544,192300,872,54,45,50,49.66666667,,77,260,,,,
92545,211600,833,71,67,66,68,,95,131,,,,
92551,231400,890.6666667,159,142,133,144.6666667,,112,330,,,,
92553,222100,852.5,89,89,87,88.33333333,,104,185.5,,,,
92555,296400,867.7142857,192,175,177,181.3333333,,177,246,,,,
92557,260600,870.75,137,110,121,122.6666667,,140,255,,,,
92562,366100,916.5,303,292,279,291.3333333,,249,481.5,,,,
92563,357400,915.8333333,489,472,491,484,,237,477,,,,
92571,227300,867.5,39,52,58,49.66666667,,107.5,244,,,,
92583,184500,851,19,20,19,19.33333333,,68,175,,,,
92584,309800,897.75,212,202,182,198.6666667,,191,368,,,,
92585,280300,880.5,41,33,40,38,,159,296,,,,
92586,182700,937,13,19,13,15,,67,595,,,,
92590,855000,911,29,38,46,37.66666667,,708,444,,,,
92591,377800,921.5714286,216,222,228,222,,263,512,,,,
92592,401200,930.5333333,559,514,498,523.6666667,,291,562,,,,
92595,327000,879.3333333,56,66,53,58.33333333,,211,289.5,,,,
92596,344700,946,51,53,47,50.33333333,,227,648,,,,
92602,790000,969.75,1259,1349,1560,1389.333333,,680,779,,,,
92603,990900,982.25,882,938,902,907.3333333,,739,817,,,,
92604,682000,967.125,2165,2242,2348,2251.666667,,605,769,,,,
92606,691400,965,616,636,641,631,,613,754.5,,,,
92612,659300,962.6666667,1347,1393,1358,1366,,583,741,,,,
92614,611100,960.8,819,818,827,821.3333333,,539,728,,,,
92618,723800,961,216,261,254,243.6666667,,638,731,,,,
92620,768300,972.25,2476,2751,3048,2758.333333,,667,786,,,,
92625,1566700,976,39,34,38,37,,808,799.5,,,,
92626,641900,911.1666667,330,357,400,362.3333333,,559,447,,,,
92627,665300,865,14,11,12,12.33333333,,587,237,,,,
92629,776700,928,71,66,55,64,,673,548.5,,,,
92630,597800,946.5714286,419,402,417,412.6666667,,526,651,,,,
92646,682100,942.8,588,602,625,605,,606,628,,,,
92647,611300,938.0909091,787,828,899,838,,541,601,,,,
92648,797500,949,417,424,446,429,,685,669,,,,
92649,679100,938,524,498,474,498.6666667,,603,599,,,,
92651,1432600,946.5,77,80,93,83.33333333,,801,650,,,,
92653,658300,934.25,207,196,195,199.3333333,,581,583,,,,
92655,448100,912,719,718,682,706.3333333,,379,452.5,,,,
92656,511400,957.2857143,741,708,734,727.6666667,,453,707,,,,
92660,1380600,921.6666667,202,215,202,206.3333333,,796,513,,,,
92663,1221300,924,65,75,76,72,,778,530,,,,
92672,765100,952,14,12,13,13,,664,687,,,,
92673,806300,954.3333333,84,91,81,85.33333333,,688,697,,,,
92675,643900,915,56,61,85,67.33333333,,562,470.5,,,,
92677,727400,961.4,157,158,168,161,,640,736,,,,
92679,771500,944.6666667,96,103,96,98.33333333,,669,635,,,,
92683,528200,912.75,4625,4742,4793,4720,,469,458,,,,
92688,573500,963.1,515,519,512,515.3333333,,508,744,,,,
92691,606600,947.8181818,719,692,668,693,,534,660,,,,
92692,634400,955,290,266,282,279.3333333,,555,699,,,,
92694,732200,983.25,228,244,252,241.3333333,,646,819.5,,,,
92701,372000,891.3333333,244,265,284,264.3333333,,254,339,,,,
