Zip,zindex,hi_avg_w,hi_num11,hi_num12,hi_num13,hi_num_avg
96093,166700.0,778.5,50.0,33.0,41.0,41.3333333333
93401,615200.0,778.5,385.0,391.0,426.0,400.666666667
90715,415400.0,778.4,1614.0,1659.0,1652.0,1641.66666667
92391,156700.0,778.0,114.0,123.0,143.0,126.666666667
91345,419000.0,778.0,357.0,353.0,372.0,360.666666667
90802,278200.0,777.75,1601.0,1663.0,1759.0,1674.33333333
93622,126700.0,777.75,1378.0,1443.0,1485.0,1435.33333333
95119,720100.0,777.666666667,573.0,587.0,543.0,567.666666667
94550,672600.0,777.555555556,1278.0,1415.0,1378.0,1357.0
93614,225900.0,777.5,97.0,100.0,99.0,98.6666666667
92252,101800.0,777.5,106.0,102.0,90.0,99.3333333333
93657,173900.0,777.142857143,4730.0,4756.0,4849.0,4778.33333333
91101,452600.0,777.0,444.0,488.0,485.0,472.333333333
92706,494100.0,776.714285714,3851.0,4026.0,4155.0,4010.66666667
92251,188600.0,776.6,2047.0,2084.0,2170.0,2100.33333333
91950,317600.0,776.538461538,5150.0,5406.0,5472.0,5342.66666667
95648,379300.0,776.454545455,1542.0,1556.0,1633.0,1577.0
92106,925700.0,776.1,1684.0,1656.0,1719.0,1686.33333333
92557,260600.0,775.909090909,4230.0,4291.0,4315.0,4278.66666667
95018,473700.0,775.666666667,114.0,140.0,141.0,131.666666667
91351,399000.0,775.666666667,3097.0,3176.0,3224.0,3165.66666667
92173,327700.0,775.666666667,2991.0,2964.0,3110.0,3021.66666667
90744,372200.0,775.6,7430.0,6986.0,6119.0,6845.0
90247,390100.0,775.571428571,2746.0,2815.0,2786.0,2782.33333333
95337,324500.0,775.5,984.0,963.0,988.0,978.333333333
95121,610000.0,775.4,2114.0,1976.0,1871.0,1987.0
90034,847800.0,775.222222222,2631.0,2603.0,2603.0,2612.33333333
93314,355600.0,775.0,988.0,995.0,997.0,993.333333333
92505,301400.0,774.8,4636.0,4967.0,4792.0,4798.33333333
96067,230200.0,774.75,106.0,126.0,116.0,116.0
92352,332000.0,774.75,569.0,594.0,605.0,589.333333333
92868,438600.0,774.666666667,1083.0,1135.0,1071.0,1096.33333333
92571,227300.0,774.4,5187.0,5535.0,5515.0,5412.33333333
95826,244300.0,774.25,776.0,722.0,796.0,764.666666667
95365,96900.0,774.0,535.0,536.0,516.0,529.0
92629,776700.0,774.0,655.0,674.0,678.0,669.0
94043,909200.0,774.0,735.0,765.0,738.0,746.0
93630,173300.0,773.8,2559.0,2208.0,2289.0,2352.0
92882,407800.0,773.571428571,6119.0,6166.0,6219.0,6168.0
92831,534000.0,773.5,1978.0,2060.0,2183.0,2073.66666667
92503,292300.0,773.4,8170.0,8494.0,8371.0,8345.0
93428,619500.0,773.333333333,282.0,297.0,301.0,293.333333333
94553,460300.0,773.285714286,761.0,785.0,804.0,783.333333333
91104,648700.0,773.25,1609.0,1639.0,1637.0,1628.33333333
92061,480700.0,773.0,129.0,129.0,147.0,135.0
95020,595400.0,772.8,5590.0,5522.0,5718.0,5610.0
91342,404800.0,772.647058824,8578.0,7989.0,7375.0,7980.66666667
93313,206900.0,772.6,3632.0,3833.0,3984.0,3816.33333333
92154,357500.0,772.375,8810.0,8674.0,8652.0,8712.0
91744,371600.0,772.32,10665.0,10428.0,10082.0,10391.6666667
